id,title,file_path,vote_average,vote_count,height
7180,RISEN,/mULRjy8rGqZx9Ql5TTKV4inH9If.jpg,0.166,1,1440
7180,RISEN,/vX3uVYYG1YMbZijRoaFSXtNuIO2.jpg,0,0,0
13276,Deadwater,/tvF4dx3coDHCJrcn0nM38X663fH.jpg,0,0,2161
13276,Deadwater,/1563LI6bmrzyXaGbbwTkAjpR0qA.jpg,0,0,900
15057,The Evil Woods,/ppMNj9IAzEjQsQCjBloHo9qf6yJ.jpg,0,0,750
20321,Doctor Sleep,/eBRcmhQakzeYPU6AWLP1DtAoLtC.jpg,3.334,1,1500
20321,Doctor Sleep,/bWb7wrpWygWFEFlkkwU4cUTfE7V.jpg,0,0,852
20321,Doctor Sleep,/mUp3SkA4U9biBUx95XkF4RI0jpk.jpg,0,0,750
26208,Credo,/zujrGZqzrXe8DVCZyig07O03Edz.jpg,3.334,1,1500
26208,Credo,/uyBYb0e9cBQv4uJVIAIqYjIJ2qM.jpg,1.75,2,2400
28930,Live Evil,/fZCS2BHwPhzeTDQKnflUzHPIcHv.jpg,3.334,0,1500
29214,Echoes,/kTAqXw80XokVrYHehoW01zt2HP3.jpg,3.334,1,1650
29214,Echoes,/x7ksDA8Z5iQE4I2g3DLIBfUyu7h.jpg,3.334,1,750
29214,Echoes,/mjM0EpHEgXVwGnd5fhBXpTkxOzU.jpg,0.166,1,889
29899,Claustrophobia,/3vUeGjpPrEbllgm1EK68Y5hJNf4.jpg,0,0,1000
29899,Claustrophobia,/gNyLGFOTMvRwbGkrLuFiLAAfHhD.jpg,0,0,750
30030,Eyes Are Upon You,/4nsQ3qGeP6xCllI2RDQBPstdtdP.jpg,0,0,1218
35949,Jennifer's Shadow,/emw0TaUE0jyaSuZQw2u0A3L4RMw.jpg,0,0,2100
36965,Infection,/6mEmhon5P1UfKOHGn07z8zlbeK1.jpg,1.75,2,1500
36965,Infection,/6iX2M7APQTXtptwkZ193QOsYfaX.jpg,0.166,2,1440
36965,Infection,/zLoAaUcg07sWFK1e4qtgGvqvHr3.jpg,0,0,1500
36965,Infection,/vC8BHTBVpCTDfkraxxydRnZvH1X.jpg,0,0,1440
37687,3 A.M.,/5xrbnulJKpxtD2pCN1cdN0TXrMn.jpg,0,0,750
40338,Naked Massacre,/xEB7kJI7Fh9lNRhROpN9mNxrw2K.jpg,3.334,1,2639
40338,Naked Massacre,/pDjnmgEXxzeiQiGGxT7oA0gEHtx.jpg,3.334,1,1956
40338,Naked Massacre,/ok7WHby5ATCRjil9amoiblWZMNA.jpg,3.334,1,1867
40338,Naked Massacre,/eXE7aKB0EokJlrt4sm0MhT86htQ.jpg,3.334,1,1808
40338,Naked Massacre,/hvvrFwDABKfVFNrOZBGOk2cQcQ1.jpg,2.542,4,1500
