id,title,original_title,poster_path
7180,RISEN,RISEN,/mULRjy8rGqZx9Ql5TTKV4inH9If.jpg
13276,Deadwater,Deadwater,/1563LI6bmrzyXaGbbwTkAjpR0qA.jpg
15057,The Evil Woods,The Evil Woods,/ppMNj9IAzEjQsQCjBloHo9qf6yJ.jpg
20321,Doctor Sleep,Doctor Sleep,/bWb7wrpWygWFEFlkkwU4cUTfE7V.jpg
26208,Credo,Credo,/zujrGZqzrXe8DVCZyig07O03Edz.jpg
28930,Live Evil,Live Evil,/760Y7oQvtGokFyo8cXpigGMa3J1.jpg
29214,Echoes,Echoes,/mjM0EpHEgXVwGnd5fhBXpTkxOzU.jpg
29899,Claustrophobia,Claustrophobia,/gNyLGFOTMvRwbGkrLuFiLAAfHhD.jpg
30030,Eyes Are Upon You,Eyes Are Upon You,/4nsQ3qGeP6xCllI2RDQBPstdtdP.jpg
35949,Jennifer's Shadow,Jennifer's Shadow,/emw0TaUE0jyaSuZQw2u0A3L4RMw.jpg
36965,Infection,Infection,/nZwQvVEySo7rGI0JR06penAVmr1.jpg
37687,3 A.M.,3 A.M.,/5xrbnulJKpxtD2pCN1cdN0TXrMn.jpg
40338,Naked Massacre,Die Hinrichtung,/i1ElgF6v5avfslWm45s3JjzZbPS.jpg
45511,Teacher's Pet,Teacher's Pet,/rQp1gPdjPoUPTWZmnrrXpVZkt0G.jpg
47431,To Make a Killing,To Make a Killing,/1qQ3tiBTDTLSMzEk0X6NVfdacoL.jpg
48808,Closet Space,Closet Space,/1iXF33dWixSj6Q0hRIN1NYaFnvi.jpg
50604,Dark Woods,Dark Woods,/5KjHJKWsfwssN1YCPo7u4Tl4l2x.jpg
51176,Hellborn,Hellborn,/r0KUoGBEO0sWxTr9hhLf78tXtDg.jpg
56383,"Lisa, Lisa","Lisa, Lisa",/rV6Irmd9RD0HZXhD7H8ucZceo3V.jpg
58796,Canes,Canes,/9tq55sjFuJ2NNt0IPrigFKSJ0u6.jpg
64623,Vendetta,Zai shi zhui hun,/3kL2yacKNzPZ6IrxFI8dHJqu6lx.jpg
69117,Unseen Evil 2,Unseen Evil 2,/p13XVpFphqj2Dc92ZRUeYdKBWAf.jpg
69142,The Wrath,The Wrath,/gp2Zfza1j955qUU6iyDDdDsJk1H.jpg
71234,Greed,Greed,/iMraYCxCyB4s0IwlLkPtxrbSt2v.jpg
72654,Parents,Foreldrar,/6cSYVV21o7T1iMclovdKqnLqy2d.jpg
74650,Fantasmi,Fantasmi,/vKMfMV1vPsRTiM4YQk603rMTdMh.jpg
76659,Beautiful Swordswomen: Double Seppuku,美女剣士・二人切腹,/bLXl3iBAUoDAVK7z3m8kXd7AAye.jpg
80528,The Darkening,The Darkening,/wicP7cM37z3uhNdV5SwoPBZfib6.jpg
81489,Carnivorous,Carnivorous,/uJw5Tb7oCoBoalWKfvTxwt9zVZE.jpg
82828,Melancholia,メランコリア,/vmXW0lTUEkjpLdOuzZ06kyTca4T.jpg
82972,Curio,Curio,/pFupZQWYGKBaMg9dZhcfj88BZ4A.jpg
83833,Nostrum,Nostrum,/y33jBhkZAX8hw5WYwze44WCT2CE.jpg
84233,Don't Hang Up,Don't Hang Up,/fccbAyx3DcSHwlR6iwEfwVFhvyD.jpg
92312,Django the Bastard,Django il bastardo,/mEgACOh9FGP9g9XoAp8T4kYVK96.jpg
95008,Scream... and Die!,Scream... and Die!,/lASZNs0GbkObV1ErUhzwgfIpNj9.jpg
100467,The Hand That Feeds the Dead,La mano che nutre la morte,/wijtfpys0hHRi9ZGSYh7T3aJxCt.jpg
101730,Henge,Henge,/6lWQjl6cQwBT8lF0a5g52S6n2lb.jpg
102762,Awakening,Awakening,/jUvlPAF8vCYtkmpus3LvwsQGwwd.jpg
109703,Cadaver Bay,Cadaver Bay,/nzADzqDkgkilCPaQf1sNsR4X2cB.jpg
109707,Flora,Flora,/mgHbHHaclA8YfPvQBi6wRb8q1EY.jpg
110772,Stille Nacht IV: Can't Go Wrong Without You,Stille Nacht IV: Can't Go Wrong Without You,/1CHe4IOSHYoZzb7oV7eh4lVUH1x.jpg
122742,El asesino del parking,El asesino del parking,/gEi29ztmZ5G8qvDn5MdYwYd4tpC.jpg
124046,B.O.R.N.,B.O.R.N.,/trUBdVKkA3K2G1czud2hejVlYGl.jpg
125294,Rough Draft,Rough Draft,/w46brjapQYaZon6GHtiVeehmJ4T.jpg
128655,Haunted High,Haunted High,/ifZy0E6ulw73yb2pbkaKiQAr07T.jpg
131575,Fear Has 1000 Eyes,Skräcken har 1000 ögon,/vwz6fTY8YFkouYjeTMJY9l4pEwq.jpg
131815,The Sea Serpent,Serpiente de mar,/u04cvzPQTmz60zxTbXFCgPH3ncO.jpg
135973,Pennhurst,Pennhurst,/nB5XpTMsO6ukDV0vzjseM45sKFa.jpg
