id,title,original_title,poster_path
7180,RISEN,RISEN,/vX3uVYYG1YMbZijRoaFSXtNuIO2.jpg
13276,Deadwater,Deadwater,/tvF4dx3coDHCJrcn0nM38X663fH.jpg
15057,The Evil Woods,The Evil Woods,/ppMNj9IAzEjQsQCjBloHo9qf6yJ.jpg
20321,Doctor Sleep,Doctor Sleep,/eBRcmhQakzeYPU6AWLP1DtAoLtC.jpg
26208,Credo,Credo,/zujrGZqzrXe8DVCZyig07O03Edz.jpg
28930,Live Evil,Live Evil,/fZCS2BHwPhzeTDQKnflUzHPIcHv.jpg
29214,Echoes,Echoes,/kTAqXw80XokVrYHehoW01zt2HP3.jpg
29899,Claustrophobia,Claustrophobia,/gNyLGFOTMvRwbGkrLuFiLAAfHhD.jpg
30030,Eyes Are Upon You,Eyes Are Upon You,/4nsQ3qGeP6xCllI2RDQBPstdtdP.jpg
35949,Jennifer's Shadow,Jennifer's Shadow,/emw0TaUE0jyaSuZQw2u0A3L4RMw.jpg
36965,Infection,Infection,/6mEmhon5P1UfKOHGn07z8zlbeK1.jpg
37687,3 A.M.,3 A.M.,/5xrbnulJKpxtD2pCN1cdN0TXrMn.jpg
40338,Naked Massacre,Die Hinrichtung,/ok7WHby5ATCRjil9amoiblWZMNA.jpg
45511,Teacher's Pet,Teacher's Pet,/6tP0SNBPUWEFd4dz77p4JH2S574.jpg
47431,To Make a Killing,To Make a Killing,/3V9jxF3ZHE3KLSyU6QytBo4NPaE.jpg
48808,Closet Space,Closet Space,/1iXF33dWixSj6Q0hRIN1NYaFnvi.jpg
50604,Dark Woods,Dark Woods,/5KjHJKWsfwssN1YCPo7u4Tl4l2x.jpg
51176,Hellborn,Hellborn,/u5VdDoyXLuMSA193Jalh03FfrD3.jpg
56383,"Lisa, Lisa","Lisa, Lisa",/fj2PR0EnAakr9F0VhUe2uwESmII.jpg
58796,Canes,Canes,/9tq55sjFuJ2NNt0IPrigFKSJ0u6.jpg
64623,Vendetta,Zai shi zhui hun,/zdH82Fvty1AzjgS0s33q70Hrflj.jpg
69117,Unseen Evil 2,Unseen Evil 2,/p13XVpFphqj2Dc92ZRUeYdKBWAf.jpg
69142,The Wrath,The Wrath,/i58d2YSlyrN8yWjncS3UQEqZSCm.jpg
71234,Greed,Greed,/iMraYCxCyB4s0IwlLkPtxrbSt2v.jpg
72654,Parents,Foreldrar,/lRsB3AeYdbT3LhEGnIr8GF2rhx0.jpg
74650,Fantasmi,Fantasmi,/vKMfMV1vPsRTiM4YQk603rMTdMh.jpg
76659,Beautiful Swordswomen: Double Seppuku,美女剣士・二人切腹,/bLXl3iBAUoDAVK7z3m8kXd7AAye.jpg
80528,The Darkening,The Darkening,/wicP7cM37z3uhNdV5SwoPBZfib6.jpg
81489,Carnivorous,Carnivorous,/uJw5Tb7oCoBoalWKfvTxwt9zVZE.jpg
82972,Curio,Curio,/fLD3a9bc24ioDcPb2VVwat9HO00.jpg
83833,Nostrum,Nostrum,/y33jBhkZAX8hw5WYwze44WCT2CE.jpg
84233,Don't Hang Up,Don't Hang Up,/1vVhbo2yoVdoxIdkQWPifQtYfaN.jpg
92312,Django the Bastard,Django il bastardo,/lM9kTdGGSOTkSIHLbXX0SeZRQGr.jpg
95008,Scream... and Die!,Scream... and Die!,/34LrQxQMDUboPHwEuy2lTL6R8BQ.jpg
