id,title,current_file_path,current_overlap,current_fuzzy,best_file_path,best_overlap,best_fuzzy,gain_overlap,gain_fuzzy,n_variants,propose,reason
7180,RISEN,/mULRjy8rGqZx9Ql5TTKV4inH9If.jpg,1.0,1.0,/mULRjy8rGqZx9Ql5TTKV4inH9If.jpg,1.0,1.0,0.0,0.0,2,0,no
13276,Deadwater,/1563LI6bmrzyXaGbbwTkAjpR0qA.jpg,1.0,1.0,/1563LI6bmrzyXaGbbwTkAjpR0qA.jpg,1.0,1.0,0.0,0.0,2,0,no
15057,The Evil Woods,/ppMNj9IAzEjQsQCjBloHo9qf6yJ.jpg,0.3333,0.6154,/ppMNj9IAzEjQsQCjBloHo9qf6yJ.jpg,0.3333,0.6154,0.0,0.0,1,0,no
20321,Doctor Sleep,/bWb7wrpWygWFEFlkkwU4cUTfE7V.jpg,0.0,0.3333,/bWb7wrpWygWFEFlkkwU4cUTfE7V.jpg,0.0,0.3333,0.0,0.0,3,0,no
26208,Credo,/zujrGZqzrXe8DVCZyig07O03Edz.jpg,0.0,0.2105,/uyBYb0e9cBQv4uJVIAIqYjIJ2qM.jpg,0.0,0.2105,0.0,0.0,2,0,no
28930,Live Evil,/760Y7oQvtGokFyo8cXpigGMa3J1.jpg,1.0,1.0,/fZCS2BHwPhzeTDQKnflUzHPIcHv.jpg,0.0,0.2353,-1.0,-0.7647,1,0,no
29214,Echoes,/mjM0EpHEgXVwGnd5fhBXpTkxOzU.jpg,1.0,1.0,/mjM0EpHEgXVwGnd5fhBXpTkxOzU.jpg,1.0,1.0,0.0,0.0,3,0,no
29899,Claustrophobia,/gNyLGFOTMvRwbGkrLuFiLAAfHhD.jpg,0.0,0.2308,/3vUeGjpPrEbllgm1EK68Y5hJNf4.jpg,0.0,0.2308,0.0,0.0,2,0,no
30030,Eyes Are Upon You,/4nsQ3qGeP6xCllI2RDQBPstdtdP.jpg,0.0,0.3478,/4nsQ3qGeP6xCllI2RDQBPstdtdP.jpg,0.0,0.3478,0.0,0.0,1,0,no
35949,Jennifer's Shadow,/emw0TaUE0jyaSuZQw2u0A3L4RMw.jpg,0.0,0.1176,/emw0TaUE0jyaSuZQw2u0A3L4RMw.jpg,0.0,0.1176,0.0,0.0,1,0,no
36965,Infection,/nZwQvVEySo7rGI0JR06penAVmr1.jpg,0.0,0.2857,/6iX2M7APQTXtptwkZ193QOsYfaX.jpg,0.0,0.5882,0.0,0.3025,4,0,no
37687,3 A.M.,/5xrbnulJKpxtD2pCN1cdN0TXrMn.jpg,0.0,0.1739,/5xrbnulJKpxtD2pCN1cdN0TXrMn.jpg,0.0,0.1739,0.0,0.0,1,0,no
40338,Naked Massacre,/i1ElgF6v5avfslWm45s3JjzZbPS.jpg,1.0,1.0,/eXE7aKB0EokJlrt4sm0MhT86htQ.jpg,1.0,1.0,0.0,0.0,5,0,no
45511,Teacher's Pet,/rQp1gPdjPoUPTWZmnrrXpVZkt0G.jpg,1.0,1.0,/rQp1gPdjPoUPTWZmnrrXpVZkt0G.jpg,1.0,1.0,0.0,0.0,3,0,no
47431,To Make a Killing,/1qQ3tiBTDTLSMzEk0X6NVfdacoL.jpg,1.0,1.0,/1qQ3tiBTDTLSMzEk0X6NVfdacoL.jpg,1.0,1.0,0.0,0.0,4,0,no
48808,Closet Space,/1iXF33dWixSj6Q0hRIN1NYaFnvi.jpg,0.0,0.2222,/1iXF33dWixSj6Q0hRIN1NYaFnvi.jpg,0.0,0.2222,0.0,0.0,1,0,no
50604,Dark Woods,/5KjHJKWsfwssN1YCPo7u4Tl4l2x.jpg,0.0,0.2857,/5KjHJKWsfwssN1YCPo7u4Tl4l2x.jpg,0.0,0.2857,0.0,0.0,1,0,no
51176,Hellborn,/r0KUoGBEO0sWxTr9hhLf78tXtDg.jpg,1.0,1.0,/j67a01b7pSRKD5JMDBzqUYaOLj2.jpg,1.0,1.0,0.0,0.0,4,0,no
56383,"Lisa, Lisa",/rV6Irmd9RD0HZXhD7H8ucZceo3V.jpg,1.0,1.0,/rV6Irmd9RD0HZXhD7H8ucZceo3V.jpg,1.0,1.0,0.0,0.0,5,0,no
58796,Canes,/9tq55sjFuJ2NNt0IPrigFKSJ0u6.jpg,0.0,0.375,/5xCEKaeX0TBNDmXqFlJHA1kKYPG.jpg,0.0,0.375,0.0,0.0,4,0,no
64623,Vendetta,/3kL2yacKNzPZ6IrxFI8dHJqu6lx.jpg,1.0,1.0,/3kL2yacKNzPZ6IrxFI8dHJqu6lx.jpg,1.0,1.0,0.0,0.0,1,0,no
69117,Unseen Evil 2,/p13XVpFphqj2Dc92ZRUeYdKBWAf.jpg,0.0,0.2,/p13XVpFphqj2Dc92ZRUeYdKBWAf.jpg,0.0,0.2,0.0,0.0,1,0,no
69142,The Wrath,/gp2Zfza1j955qUU6iyDDdDsJk1H.jpg,0.0,0.2667,/ciVxIxEBWr14uNl5nLbjKux8QSj.jpg,0.0,0.5,0.0,0.2333,4,0,no
71234,Greed,/iMraYCxCyB4s0IwlLkPtxrbSt2v.jpg,0.0,0.25,/iMraYCxCyB4s0IwlLkPtxrbSt2v.jpg,0.0,0.25,0.0,0.0,1,0,no
72654,Parents,/6cSYVV21o7T1iMclovdKqnLqy2d.jpg,1.0,1.0,/6cSYVV21o7T1iMclovdKqnLqy2d.jpg,1.0,1.0,0.0,0.0,2,0,no
74650,Fantasmi,/vKMfMV1vPsRTiM4YQk603rMTdMh.jpg,0.0,0.32,/8ykbl5Ax5LRg5UjJu2vlmngXjmg.jpg,0.0,0.875,0.0,0.555,2,0,no
76659,Beautiful Swordswomen: Double Seppuku,/bLXl3iBAUoDAVK7z3m8kXd7AAye.jpg,0.0,0.1463,/bLXl3iBAUoDAVK7z3m8kXd7AAye.jpg,0.0,0.1463,0.0,0.0,2,0,no
80528,The Darkening,/wicP7cM37z3uhNdV5SwoPBZfib6.jpg,0.5,0.5,/wicP7cM37z3uhNdV5SwoPBZfib6.jpg,0.5,0.5,0.0,0.0,1,0,no
81489,Carnivorous,/uJw5Tb7oCoBoalWKfvTxwt9zVZE.jpg,0.0,0.24,/uJw5Tb7oCoBoalWKfvTxwt9zVZE.jpg,0.0,0.24,0.0,0.0,1,0,no
82828,Melancholia,/vmXW0lTUEkjpLdOuzZ06kyTca4T.jpg,0.0,0.3077,/vmXW0lTUEkjpLdOuzZ06kyTca4T.jpg,0.0,0.3077,0.0,0.0,1,0,no
82972,Curio,/pFupZQWYGKBaMg9dZhcfj88BZ4A.jpg,1.0,1.0,/pFupZQWYGKBaMg9dZhcfj88BZ4A.jpg,1.0,1.0,0.0,0.0,2,0,no
83833,Nostrum,/y33jBhkZAX8hw5WYwze44WCT2CE.jpg,0.0,0.2353,/y33jBhkZAX8hw5WYwze44WCT2CE.jpg,0.0,0.2353,0.0,0.0,1,0,no
84233,Don't Hang Up,/fccbAyx3DcSHwlR6iwEfwVFhvyD.jpg,1.0,1.0,/fccbAyx3DcSHwlR6iwEfwVFhvyD.jpg,1.0,1.0,0.0,0.0,5,0,no
92312,Django the Bastard,/mEgACOh9FGP9g9XoAp8T4kYVK96.jpg,1.0,1.0,/mEgACOh9FGP9g9XoAp8T4kYVK96.jpg,1.0,1.0,0.0,0.0,5,0,no
95008,Scream... and Die!,/lASZNs0GbkObV1ErUhzwgfIpNj9.jpg,1.0,1.0,/lASZNs0GbkObV1ErUhzwgfIpNj9.jpg,1.0,1.0,0.0,0.0,5,0,no
100467,The Hand That Feeds the Dead,/wijtfpys0hHRi9ZGSYh7T3aJxCt.jpg,1.0,1.0,/wijtfpys0hHRi9ZGSYh7T3aJxCt.jpg,1.0,1.0,0.0,0.0,2,0,no
101730,Henge,/6lWQjl6cQwBT8lF0a5g52S6n2lb.jpg,0.0,0.1111,/g1273UI7b05AxfIifNoW17oX5cf.jpg,1.0,1.0,1.0,0.8889,2,1,overlap_gain
102762,Awakening,/jUvlPAF8vCYtkmpus3LvwsQGwwd.jpg,0.0,0.3636,/jUvlPAF8vCYtkmpus3LvwsQGwwd.jpg,0.0,0.3636,0.0,0.0,1,0,no
109703,Cadaver Bay,/nzADzqDkgkilCPaQf1sNsR4X2cB.jpg,0.0,0.125,/nzADzqDkgkilCPaQf1sNsR4X2cB.jpg,0.0,0.125,0.0,0.0,1,0,no
109707,Flora,/mgHbHHaclA8YfPvQBi6wRb8q1EY.jpg,1.0,1.0,/mgHbHHaclA8YfPvQBi6wRb8q1EY.jpg,1.0,1.0,0.0,0.0,5,0,no
110772,Stille Nacht IV: Can't Go Wrong Without You,/1CHe4IOSHYoZzb7oV7eh4lVUH1x.jpg,0.375,0.5532,/1CHe4IOSHYoZzb7oV7eh4lVUH1x.jpg,0.375,0.5532,0.0,0.0,3,0,no
