id,title,current_file_path,current_overlap,current_fuzzy,best_file_path,best_overlap,best_fuzzy,gain_overlap,gain_fuzzy,n_variants,propose,reason
7180,RISEN,/vX3uVYYG1YMbZijRoaFSXtNuIO2.jpg,0.0,0.24,/mULRjy8rGqZx9Ql5TTKV4inH9If.jpg,1.0,1.0,1.0,0.76,2,1,overlap_gain
13276,Deadwater,/tvF4dx3coDHCJrcn0nM38X663fH.jpg,0.0,0.1176,/1563LI6bmrzyXaGbbwTkAjpR0qA.jpg,1.0,1.0,1.0,0.8824,2,1,overlap_gain
15057,The Evil Woods,/ppMNj9IAzEjQsQCjBloHo9qf6yJ.jpg,0.3333,0.6154,/ppMNj9IAzEjQsQCjBloHo9qf6yJ.jpg,0.3333,0.6154,0.0,0.0,1,0,no
20321,Doctor Sleep,/eBRcmhQakzeYPU6AWLP1DtAoLtC.jpg,0.0,0.3333,/bWb7wrpWygWFEFlkkwU4cUTfE7V.jpg,0.0,0.3333,0.0,0.0,3,0,no
26208,Credo,/zujrGZqzrXe8DVCZyig07O03Edz.jpg,0.0,0.2105,/uyBYb0e9cBQv4uJVIAIqYjIJ2qM.jpg,0.0,0.2105,0.0,0.0,2,0,no
28930,Live Evil,/fZCS2BHwPhzeTDQKnflUzHPIcHv.jpg,0.0,0.2353,/fZCS2BHwPhzeTDQKnflUzHPIcHv.jpg,0.0,0.2353,0.0,0.0,1,0,no
29214,Echoes,/kTAqXw80XokVrYHehoW01zt2HP3.jpg,0.0,0.0952,/mjM0EpHEgXVwGnd5fhBXpTkxOzU.jpg,1.0,1.0,1.0,0.9048,3,1,overlap_gain
29899,Claustrophobia,/gNyLGFOTMvRwbGkrLuFiLAAfHhD.jpg,0.0,0.2308,/3vUeGjpPrEbllgm1EK68Y5hJNf4.jpg,0.0,0.2308,0.0,0.0,2,0,no
30030,Eyes Are Upon You,/4nsQ3qGeP6xCllI2RDQBPstdtdP.jpg,0.0,0.3478,/4nsQ3qGeP6xCllI2RDQBPstdtdP.jpg,0.0,0.3478,0.0,0.0,1,0,no
35949,Jennifer's Shadow,/emw0TaUE0jyaSuZQw2u0A3L4RMw.jpg,0.0,0.1176,/emw0TaUE0jyaSuZQw2u0A3L4RMw.jpg,0.0,0.1176,0.0,0.0,1,0,no
36965,Infection,/6mEmhon5P1UfKOHGn07z8zlbeK1.jpg,0.0,0.5882,/6iX2M7APQTXtptwkZ193QOsYfaX.jpg,0.0,0.5882,0.0,0.0,4,0,no
37687,3 A.M.,/5xrbnulJKpxtD2pCN1cdN0TXrMn.jpg,0.0,0.1739,/5xrbnulJKpxtD2pCN1cdN0TXrMn.jpg,0.0,0.1739,0.0,0.0,1,0,no
40338,Naked Massacre,/ok7WHby5ATCRjil9amoiblWZMNA.jpg,0.0,0.1667,/eXE7aKB0EokJlrt4sm0MhT86htQ.jpg,1.0,1.0,1.0,0.8333,5,1,overlap_gain
45511,Teacher's Pet,/6tP0SNBPUWEFd4dz77p4JH2S574.jpg,0.0,0.2963,/rQp1gPdjPoUPTWZmnrrXpVZkt0G.jpg,1.0,1.0,1.0,0.7037,3,1,overlap_gain
