id,title,current_file_path,current_overlap,current_fuzzy,best_file_path,best_overlap,best_fuzzy,gain_overlap,gain_fuzzy,n_variants,propose,reason
7180,RISEN,/mULRjy8rGqZx9Ql5TTKV4inH9If.jpg,1.0,0.2632,/mULRjy8rGqZx9Ql5TTKV4inH9If.jpg,1.0,0.2632,0.0,0.0,2,0,no
13276,Deadwater,/1563LI6bmrzyXaGbbwTkAjpR0qA.jpg,1.0,0.0367,/1563LI6bmrzyXaGbbwTkAjpR0qA.jpg,1.0,0.0367,0.0,0.0,2,0,no
15057,The Evil Woods,/ppMNj9IAzEjQsQCjBloHo9qf6yJ.jpg,0.3333,0.4444,/ppMNj9IAzEjQsQCjBloHo9qf6yJ.jpg,0.3333,0.4444,0.0,0.0,1,0,no
20321,Doctor Sleep,/bWb7wrpWygWFEFlkkwU4cUTfE7V.jpg,0.5,0.0,/bWb7wrpWygWFEFlkkwU4cUTfE7V.jpg,0.5,0.0,0.0,0.0,3,0,no
26208,Credo,/zujrGZqzrXe8DVCZyig07O03Edz.jpg,0.0,0.2105,/zujrGZqzrXe8DVCZyig07O03Edz.jpg,0.0,0.2105,0.0,0.0,2,0,no
28930,Live Evil,/760Y7oQvtGokFyo8cXpigGMa3J1.jpg,1.0,0.0072,/fZCS2BHwPhzeTDQKnflUzHPIcHv.jpg,0.0,0.0117,-1.0,0.0045,1,0,no
29214,Echoes,/mjM0EpHEgXVwGnd5fhBXpTkxOzU.jpg,1.0,1.0,/mjM0EpHEgXVwGnd5fhBXpTkxOzU.jpg,1.0,1.0,0.0,0.0,3,0,no
29899,Claustrophobia,/gNyLGFOTMvRwbGkrLuFiLAAfHhD.jpg,0.0,0.1687,/3vUeGjpPrEbllgm1EK68Y5hJNf4.jpg,0.0,0.1707,0.0,0.002,2,0,no
30030,Eyes Are Upon You,/4nsQ3qGeP6xCllI2RDQBPstdtdP.jpg,0.0,0.2979,/4nsQ3qGeP6xCllI2RDQBPstdtdP.jpg,0.0,0.2979,0.0,0.0,1,0,no
35949,Jennifer's Shadow,/emw0TaUE0jyaSuZQw2u0A3L4RMw.jpg,0.0,0.1928,/emw0TaUE0jyaSuZQw2u0A3L4RMw.jpg,0.0,0.1928,0.0,0.0,1,0,no
