id,title,current_file_path,current_overlap,current_fuzzy,best_file_path,best_overlap,best_fuzzy,gain_overlap,gain_fuzzy,n_variants,propose,reason
7180,RISEN,/vX3uVYYG1YMbZijRoaFSXtNuIO2.jpg,0.0,0.0889,/mULRjy8rGqZx9Ql5TTKV4inH9If.jpg,1.0,0.2632,1.0,0.1743,2,1,overlap_gain
13276,Deadwater,/tvF4dx3coDHCJrcn0nM38X663fH.jpg,0.0,0.1622,/1563LI6bmrzyXaGbbwTkAjpR0qA.jpg,1.0,0.0367,1.0,-0.1255,2,1,overlap_gain
15057,The Evil Woods,/ppMNj9IAzEjQsQCjBloHo9qf6yJ.jpg,0.3333,0.4444,/ppMNj9IAzEjQsQCjBloHo9qf6yJ.jpg,0.3333,0.4444,0.0,0.0,1,0,no
20321,Doctor Sleep,/eBRcmhQakzeYPU6AWLP1DtAoLtC.jpg,0.0,0.2286,/bWb7wrpWygWFEFlkkwU4cUTfE7V.jpg,0.5,0.0,0.5,-0.2286,3,1,overlap_gain
26208,Credo,/zujrGZqzrXe8DVCZyig07O03Edz.jpg,0.0,0.2105,/zujrGZqzrXe8DVCZyig07O03Edz.jpg,0.0,0.2105,0.0,0.0,2,0,no
28930,Live Evil,/fZCS2BHwPhzeTDQKnflUzHPIcHv.jpg,0.0,0.0117,/fZCS2BHwPhzeTDQKnflUzHPIcHv.jpg,0.0,0.0117,0.0,0.0,1,0,no
29214,Echoes,/kTAqXw80XokVrYHehoW01zt2HP3.jpg,0.0,0.1099,/mjM0EpHEgXVwGnd5fhBXpTkxOzU.jpg,1.0,1.0,1.0,0.8901,3,1,overlap_gain
29899,Claustrophobia,/gNyLGFOTMvRwbGkrLuFiLAAfHhD.jpg,0.0,0.1687,/3vUeGjpPrEbllgm1EK68Y5hJNf4.jpg,0.0,0.1707,0.0,0.002,2,0,no
30030,Eyes Are Upon You,/4nsQ3qGeP6xCllI2RDQBPstdtdP.jpg,0.0,0.2979,/4nsQ3qGeP6xCllI2RDQBPstdtdP.jpg,0.0,0.2979,0.0,0.0,1,0,no
35949,Jennifer's Shadow,/emw0TaUE0jyaSuZQw2u0A3L4RMw.jpg,0.0,0.1928,/emw0TaUE0jyaSuZQw2u0A3L4RMw.jpg,0.0,0.1928,0.0,0.0,1,0,no
36965,Infection,/6mEmhon5P1UfKOHGn07z8zlbeK1.jpg,0.0,0.3226,/zLoAaUcg07sWFK1e4qtgGvqvHr3.jpg,0.0,0.5882,0.0,0.2656,4,0,no
37687,3 A.M.,/5xrbnulJKpxtD2pCN1cdN0TXrMn.jpg,0.0,0.0377,/5xrbnulJKpxtD2pCN1cdN0TXrMn.jpg,0.0,0.0377,0.0,0.0,1,0,no
