id,title,original_title,original_language,poster_path,stratum
882502,Three Hos One Street,Three Hos One Street,en,/gIBLRodcchpmwRll3W7zqR9nMKF.jpg,no_title_on_poster
84690,Oxy-Morons,Oxy-Morons,en,/eMwVGk6N1z7oS2txVKKpwbdm0y7.jpg,accurate
1542224,Dreadful curiosity,Dreadful curiosity,hi,/2IkcFpokz74wJbsDI3jFh1byujM.jpg,accurate
102969,Headwinds,Des vents contraires,fr,/abwCYIYeBZKtfCfhRT4C7REqwEg.jpg,accurate
1354072,The Darkest Place,The Darkest Place,en,/cUyrGu75LFvssyxgDxBLQtCYyPf.jpg,accurate
1734682,"People, People, People!","People, People, People!",en,/q0S8CW0kEM87TFajJU7rwFVsJXD.jpg,no_title_on_poster
1217113,In a Grove,In a Grove,en,/nDs5fsRQvpCDjyJMGJp5QWZ4lzT.jpg,inaccurate
426524,Infamous Bondage Murders 2,Infamous Bondage Murders 2,en,/yOuo2O4AuI3ocgmb915ENPNaifx.jpg,inaccurate
1706480,Departing Seniors,Departing Seniors,en,/nGzthYjyIjyA0CC5Gv0YbCQuuyp.jpg,accurate
493269,Stop the Old Fox,かげろう絵図,ja,/zMO53EIT52nV1f0Iimp31MEsYvv.jpg,no_title_on_poster
229273,The Dawn Rapists,Los violadores del amanecer,es,/6BKCsCz2AYGU8SwVYCWGgS8hzPX.jpg,accurate
48309,Prison,Prison,en,/bB6iCnYO1dlVA1kZp04acFyXTpg.jpg,inaccurate
1264452,Hot Kiss,Hot Kiss,en,/emmJjulESgLJvgStCi7I2Z06NxA.jpg,accurate
1175507,Crazy Scary 2,バリコワ2 呪われた女たち,ja,/6VqrZXohkAcerh0jlgR84xE4D60.jpg,inaccurate
1423221,Sunset,Sunset,en,/bqU8MFar3cse4gUba5UHNtPra8I.jpg,no_title_on_poster
174593,Blind Justice,Hævnens nat,da,/57QHTW4kxZL3MD8wyMDSKwyXev9.jpg,accurate
843898,She Came from the Woods,She Came From The Woods,en,/89uBJh6y1AQ7KE7bDO2u2mTU6N.jpg,no_title_on_poster
306039,Krodhi,क्रोधी,hi,/pl6Or87TskMSYs782LhwASKjSF7.jpg,inaccurate
1320353,My Girl,Моя девочка,ru,/iwH8m6jppBnBjvQ4AZiaxjbYc8J.jpg,accurate
28168,Blood Feast 2: All U Can Eat,Blood Feast 2: All U Can Eat,en,/vUfYoOdiLvCoMnsmhT8HHUSz49N.jpg,accurate
284063,Mourning Grave,소녀괴담,ko,/1l0ik6iPTdXX4Gy8bWeUHqCWWNz.jpg,accurate
287537,Circle of Crime,비정한 도시,ko,/8SX76YlpTbxEbz1KJSIexvETGwB.jpg,inaccurate
986296,Hüddam'ın Soyu: Marid Cinleri,Hüddam'ın Soyu: Marid Cinleri,tr,/3UwpivCNJWhjbNIUsWDzMN56sQ9.jpg,inaccurate
291661,The Photographer: Inside the Mind of a Psycho,The Photographer: Inside the Mind of a Psycho,en,/w1Tzha80uk4UAeTzbhP5txOcGfl.jpg,inaccurate
734518,Anata ga koko ni itehoshii,あなたにここにいて欲しい,ja,/t4052AcJZsvLZ1AcvUs8EFvN2rg.jpg,inaccurate
625586,I Am Cursed,I Am Cursed,en,/rAXEj3B5Fv6ld7fCbdlE1UcH8WM.jpg,accurate
1442091,L'Hôte,L'Hôte,fr,/6djDJtjmx6P9RMxiMskYnEs0i6A.jpg,accurate
925931,Psychopompos,Psychopompos,cs,/3dZPNEg3nCggNmuzQoU4qdY4eje.jpg,inaccurate
1315228,"Welcome Back, Mr. Buzzcock","Welcome Back, Mr. Buzzcock",en,/mdTJqOW4mUFH8fQqoPCyO3lEH2W.jpg,accurate
851560,Honto Ni Atta! Noroi No Video 34,ほんとにあった！呪いのビデオ34,ja,/pgI4xouJ43SGa4AK1cv1adXc0VU.jpg,inaccurate
53529,Cover,Cover,en,/cXuY48wvXyXUIuSADiCNMoj0tSb.jpg,inaccurate
1029343,Into the Garden of Glass and Steel,Into the Garden of Glass and Steel,en,/v6I5XIlAeeGb6ykFRkukbB6YWCB.jpg,no_title_on_poster
1204933,Kaiki Senyaichiya Monogatari: Ki no Maki,怪奇千夜一夜物語 「奇」の巻,ja,/9BwjB5WnBN9fGhshBqgO1a11e2f.jpg,inaccurate
1259241,Penrose,Penrose,pt,/gDe1F3wBdICsyLmBhUfbJ1FXYkG.jpg,inaccurate
1260949,Shûhei Shimada: World of Terror - Horror Edition,島田秀平の恐怖世界~恐怖編~,ja,/zpOpvnV4Sr8kWODPhiqlZI64WzB.jpg,inaccurate
1256639,The Hurt Tapes,The Hurt Tapes,en,/al6ERXk4iSyCW2OMLgrqI77Q2JJ.jpg,accurate
1181975,Night of the Puppets,Night of the Puppets,en,/Ri0iMj0kHTWTdeSp95Ej9y06IH.jpg,accurate
393470,Murder at the Grange,Murder at the Grange,en,/98rnntQ8kh41sY4SBLJ2ABbEtgA.jpg,no_title_on_poster
1634693,Working Title: You Will Never Leave This Place,Working Title: You Will Never Leave This Place,de,/lhUbB6HXlwB6xQncLKlo9HO9goX.jpg,accurate
1532912,Vive dentro,Vive dentro,es,/iY4zAL5NMhAaJzCT1lC9wfqTfUQ.jpg,accurate
40126,Death Row Girls,野獣(クーガ)の城 女囚1316,ja,/gzeXGNwVYitHFKCZQZoFEKXk95R.jpg,inaccurate
886416,Fei Hua A Magic Police Officer: Circle of the Boold,Fei Hua A Magic Police Officer: Circle of the Boold,zh,/vztSdk0aDgoOEl7sEcYX6Zyhpd2.jpg,no_title_on_poster
400902,The Man Who Was Thursday,The Man Who Was Thursday,en,/3fuKEiRtMtSqoME3qw9wZkJgvLG.jpg,inaccurate
244505,Abar Byomkesh,আবার ব্যোমকেশ,bn,/3ZTOxtGorh9iXwki48b5fcJKnhm.jpg,inaccurate
315586,Joelma 23rd Floor,Joelma 23º Andar,pt,/sAzmEhsuAH2eVXPc3AX7hbm6Z4z.jpg,accurate
334707,Clouds,Alapaap,en,/nUlFG5i6cwDxEWR7QCWzEtpPhxK.jpg,inaccurate
213967,Venus Flytrap,Venus Flytrap,en,/tQOKMvxsnxTQeWOPZ7fWyOf0Ihg.jpg,inaccurate
1450043,Abismo (recuerda tu esencia),Abismo (recuerda tu esencia),en,/aedzdSDXYdlxqTMlwzDvmnh0IY1.jpg,inaccurate
408626,City of Tiny Lights,City of Tiny Lights,en,/eX9iEZdU2w1elGQhNY50DmKqiaE.jpg,accurate
1204660,The Twin,The Twin,en,/s43zuayHz2P6VRfSskz9eWjUrM8.jpg,accurate
202173,The Lady from Lisbon,The Lady from Lisbon,en,/1hlBkL0l8M5m6vP6tqEIUcEba5r.jpg,inaccurate
683460,The Cave of the Vampire Bats,旗本退屈男　謎の七色御殿,ja,/jFenWk8ci7B8i4o1iNBBwe0uCO8.jpg,accurate
1612341,Thakkol Pazhuthu,താക്കോൽ പഴുത്,ml,/uphi53sLYo7YHvAeKPjey4xHXLI.jpg,inaccurate
575088,Baba Yaga: Terror of the Dark Forest,Яга. Кошмар тёмного леса,ru,/8m5HTXzwewlfXhtZtLlLts53YTW.jpg,accurate
1015456,Red Right Hand,Red Right Hand,en,/ypUdCNthT6HyhGU4Tp8eoCrDHkW.jpg,accurate
30002,The Munsters' Revenge,The Munsters' Revenge,en,/zgmc7vMmCzR9JTBXsjYxGfn3AFW.jpg,inaccurate
34754,The Unknown,Det okända.,sv,/keiZOBWE5ZognvLDNi8us3zLYJz.jpg,accurate
345249,Music Games,Музыкальные игры,ru,/oPPa2oAkO0zR9Tjf8RzhmHH7Axz.jpg,accurate
104952,Anatomia Extinction,限界人口係数,ja,/oPIUP6qzmuwasgKEVPmF4QxgRDM.jpg,inaccurate
1204029,Schooleater,翳影隱校園，蹊徑食人獸,zh,/jXRAKbVaiLt6X68FXqrwsyYls2t.jpg,no_title_on_poster
502666,Anywhere Out of the World,Anywhere Out of the World,en,/AfMmuU9gMEW8eptSdaG2VoX9T6u.jpg,no_title_on_poster
1063847,Psychic Manjara 26,心霊曼邪羅26,ja,/7UxDisopzfRlzmyGYFYASCwSx6z.jpg,inaccurate
199774,In a Corner,片隅,ja,/lUNllOOm6bNnSpNnlEx0xJ0nAt0.jpg,inaccurate
1703979,Shroom Baby,Shroom Baby,en,/ddnmPi1yp7LmvtKn1ocnjxGNH7s.jpg,accurate
274513,House of Carnage,House of Carnage,en,/bqjjHTzv8s4Es5C5NXuFowfix2n.jpg,inaccurate
1309740,Things0.5aregone_Version3(0),สิ่ง0.5หายไป _เวอร์ชั่น3(0),th,/9MkEnwLWGw7rSRXU7FndDndYapP.jpg,inaccurate
1090533,ECHOVIDEOPRAXIS: the hope & ghost of an interior history circulating,ECHOVIDEOPRAXIS: the hope & ghost of an interior history circulating,en,/z02uQ3zgdtnfbyM0HlWInLBxRSM.jpg,inaccurate
1553758,Song of the Slaughterhouse,Song of the Slaughterhouse,en,/fbZWSrb0FJX9zpKfP09cj3J5oK7.jpg,inaccurate
25672,Hollow Triumph,Hollow Triumph,en,/gRbXP8cKiufjKjtZoyxHjOORUMQ.jpg,accurate
884619,the once beautiful creation,the once beautiful creation,en,/6urbVDty8oQEeRKxczrM70u12Q.jpg,no_title_on_poster
126172,Leprechaun: Origins,Leprechaun: Origins,en,/yyZ7folrZTqEJFD7wUuGf84CmPK.jpg,accurate
1314448,Jurassic Cops the Movie: The Search for Legendary Ancient Creatures,쥬라기캅스 극장판: 전설의 고대생물을 찾아라,ko,/umwS08PAByehgTAULIroIQE4ng3.jpg,inaccurate
1192060,Suberanai Kowai Hanashi,すべらない怖い話,ja,/vyGnUewLS2NbMc25c6QI2pORnYW.jpg,no_title_on_poster
1656958,Greeley's Creamies,Greeley's Creamies,en,/wwBHm8emfjjs2DKCIAVeI8TUKep.jpg,no_title_on_poster
1382178,Octodecapus,Octodecapus,en,/hACCm5qv4nRTCiVcJJog7BHUfZA.jpg,no_title_on_poster
40339,Private House of the SS,Casa privata per le SS,it,/mrPhJFdf62KC8nLcS1aYR5rKgfN.jpg,accurate
1003179,Mise en Place,Mise en Place,pt,/nAJcmVELlYcEJ5BKysurSIVPF61.jpg,accurate
1221066,La barriga del diablo,La barriga del diablo,es,/qSvWPYyMalIYRCt3N9Iom8Rsdt2.jpg,no_title_on_poster
1038766,Basement Bags,Basement Bags,en,/u1CS7G2XsU4vDvg3iTg3DzBbgut.jpg,accurate
1269377,Posted Grudge Spirit Footage Vol.3: Curse Edition,投稿 怨霊映像 Vol.3 呪篇,ja,/kTrprfA8SbAkcrRE6erSq0VQtYw.jpg,inaccurate
806944,Borrasca,Borrasca,en,/jAopiCoG6IrwYCc9jIY0gQL6kqj.jpg,accurate
1354756,Max Headroom Pirating Incident,Max Headroom Pirating Incident,en,/yJ6jxAJw0YMznanqwzL3CMNUjdl.jpg,inaccurate
