id,title,stratum,human_verdict,live_verdict,error
882502,Three Hos One Street,no_title_on_poster,no_title_on_poster,no_title_on_poster,
84690,Oxy-Morons,accurate,match,match,
1542224,Dreadful curiosity,accurate,match,match,
102969,Headwinds,accurate,match,match,
1354072,The Darkest Place,accurate,match,match,
1734682,"People, People, People!",no_title_on_poster,no_title_on_poster,no_title_on_poster,
1217113,In a Grove,inaccurate,match,match,
426524,Infamous Bondage Murders 2,inaccurate,mismatch,mismatch,
1706480,Departing Seniors,accurate,match,match,
229273,The Dawn Rapists,accurate,match,match,
48309,Prison,inaccurate,match,match,
1264452,Hot Kiss,accurate,match,match,
1423221,Sunset,no_title_on_poster,no_title_on_poster,no_title_on_poster,
174593,Blind Justice,accurate,match,match,
843898,She Came from the Woods,no_title_on_poster,match,match,
306039,Krodhi,inaccurate,match,mismatch,
1320353,My Girl,accurate,match,match,
28168,Blood Feast 2: All U Can Eat,accurate,match,match,
284063,Mourning Grave,accurate,match,match,
986296,Hüddam'ın Soyu: Marid Cinleri,inaccurate,match,match,
291661,The Photographer: Inside the Mind of a Psycho,inaccurate,match,match,
625586,I Am Cursed,accurate,match,match,
1442091,L'Hôte,accurate,match,match,
925931,Psychopompos,inaccurate,match,match,
1315228,"Welcome Back, Mr. Buzzcock",accurate,match,match,
53529,Cover,inaccurate,match,match,
1029343,Into the Garden of Glass and Steel,no_title_on_poster,no_title_on_poster,no_title_on_poster,
1259241,Penrose,inaccurate,match,match,
1256639,The Hurt Tapes,accurate,match,match,
1181975,Night of the Puppets,accurate,match,mismatch,
393470,Murder at the Grange,no_title_on_poster,no_title_on_poster,no_title_on_poster,
1634693,Working Title: You Will Never Leave This Place,accurate,match,match,
1532912,Vive dentro,accurate,match,match,
400902,The Man Who Was Thursday,inaccurate,match,match,
315586,Joelma 23rd Floor,accurate,mismatch,mismatch,
213967,Venus Flytrap,inaccurate,match,match,
1450043,Abismo (recuerda tu esencia),inaccurate,match,match,
408626,City of Tiny Lights,accurate,match,match,
1204660,The Twin,accurate,match,match,
202173,The Lady from Lisbon,inaccurate,match,match,
575088,Baba Yaga: Terror of the Dark Forest,accurate,match,mismatch,
1015456,Red Right Hand,accurate,match,match,
30002,The Munsters' Revenge,inaccurate,match,match,
345249,Music Games,accurate,mismatch,mismatch,
104952,Anatomia Extinction,inaccurate,match,match,
1204029,Schooleater,no_title_on_poster,no_title_on_poster,no_title_on_poster,
502666,Anywhere Out of the World,no_title_on_poster,no_title_on_poster,no_title_on_poster,
199774,In a Corner,inaccurate,mismatch,mismatch,
1703979,Shroom Baby,accurate,match,match,
274513,House of Carnage,inaccurate,match,match,
1090533,ECHOVIDEOPRAXIS: the hope & ghost of an interior history circulating,inaccurate,mismatch,match,
1553758,Song of the Slaughterhouse,inaccurate,match,match,
25672,Hollow Triumph,accurate,match,match,
884619,the once beautiful creation,no_title_on_poster,no_title_on_poster,no_title_on_poster,
126172,Leprechaun: Origins,accurate,match,match,
1656958,Greeley's Creamies,no_title_on_poster,no_title_on_poster,no_title_on_poster,
1382178,Octodecapus,no_title_on_poster,no_title_on_poster,no_title_on_poster,
40339,Private House of the SS,accurate,mismatch,mismatch,
1003179,Mise en Place,accurate,match,match,
1221066,La barriga del diablo,no_title_on_poster,no_title_on_poster,no_title_on_poster,
1038766,Basement Bags,accurate,match,match,
806944,Borrasca,accurate,match,match,
1354756,Max Headroom Pirating Incident,inaccurate,mismatch,match,
1121020,Let's Be Friends,no_title_on_poster,no_title_on_poster,no_title_on_poster,
1535973,The Cheat,no_title_on_poster,no_title_on_poster,no_title_on_poster,
265826,Twinkle Heart: Gingakei made Todokanai,no_title_on_poster,no_title_on_poster,no_title_on_poster,
881415,Love Me,accurate,match,match,
1450720,Windyville,accurate,match,match,
753208,Where's Carolyn,no_title_on_poster,no_title_on_poster,no_title_on_poster,
1441718,Scarlett's Colorful Friends,inaccurate,match,match,
1070432,The Guest,no_title_on_poster,no_title_on_poster,no_title_on_poster,
1036637,The Beckoning,inaccurate,match,match,
1417623,Slide,accurate,match,match,
11427,Dead End,accurate,match,match,
1033801,The Curse of Robert the Doll,accurate,match,match,
