id,title,poster_path,nova_blood_gore,nova_violence,nova_sexual_content,nova_sensitive,nova_moderation_notes,rek_gore,rek_violence,rek_mod_weapons,rek_nudity,rek_suggestive,rek_mod_raw,flagged,flag_reasons,error
22033,Cry of the Banshee,/urub0N7F8mZDEsMwORiN2T2vTXq.jpg,0.0,0.0,0.0,occult,skull and witch imagery,0.0,0.0,0.0,0.0,0.0,,0,,
31232,It!,/sBMFTviUDt6bm8LROkAWAvw1Ts5.jpg,0.0,0.0,0.0,,a woman in a nightgown is shown in a non-sexual pose,0.0,0.0,0.0,0.0,0.0,,0,,
14157,Impulse,/80SZWcSwdAAym8mHN71RTL3l3JI.jpg,0.0,0.0,0.0,,A man and woman are kissing.,0.0,0.0,0.0,0.0,0.0,Non-Explicit Nudity of Intimate parts and Kissing:0.41|Kissing on the Lips:0.41,0,,
26198,The Keep,/yd9wU3oajNxwaFHQ02rtTBuSFJD.jpg,0.0,0.0,0.0,,poster shows a building with a light shining from within,0.0,0.0,0.0,0.0,0.0,,0,,
19205,Cthulhu,/rgf0vEc19nRmscRPu9y410GbhgM.jpg,0.0,0.0,0.0,,hands reaching out of a wooden crate,0.0,0.0,0.0,0.0,0.0,,0,,
20015,KM 31: Kilometer 31,/hI1YBR4afo7zOrJfdaaO9GRKEvj.jpg,0.0,0.0,0.0,,Poster depicts a scary scene but no explicit content.,0.0,0.0,0.0,0.0,0.0,Non-Explicit Nudity of Intimate parts and Kissing:0.99|Non-Explicit Nudity:0.99|Exposed Male Nipple:0.99,0,,
17874,Laserblast,/jxv1Z0URENuWADDRwvRINUWUsP.jpg,0.0,0.0,0.0,,The poster depicts a laser gun but no actual violence.,0.0,0.5414,0.0,0.0,0.0,Weapon Violence:0.54|Graphic Violence:0.54|Violence:0.54,1,rek_violence>=0.4,
9095,Mary Reilly,/cW5wTiv5fdtBOd22utmAIZBCMS3.jpg,0.0,0.0,0.0,,"A person is shown in the background, but it is not violent.",0.0,0.0,0.0,0.0,0.0,,0,,
20215,Boo,/9VyMAPsjUIeLf71J2OG5V8DO7Jj.jpg,0.0,0.0,0.0,,scary movie poster with a child and a ghost,0.0,0.0,0.0,0.0,0.0,,0,,
26178,Razorback,/227exUUzUWkCYOVoPxap5RaVmTM.jpg,0.0,0.0,0.0,,The poster depicts a fantasy scene with a monster and a man holding a gun.,0.0,0.0,0.0,0.0,0.0,,0,,
31116,Zaat,/g0kYZe6feiXQowaNsV6GBW5R5q0.jpg,0.0,0.0,0.0,,"poster is a drawing, not a photograph",0.0,0.0,0.0,0.0,0.0,,0,,
17796,Freaked,/enQ9FBLo4bd7AHX78geP6qRSl9U.jpg,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0,,
13742,Satan,/rYdoMFMBbG7tzurtHrYNc1zcqQz.jpg,0.0,0.0,0.0,,poster is not explicit but suggests violent content,0.0,0.0,0.0,0.0,0.0,,0,,
9669,Ringu 2,/HREqYQWkGnH2viRQEXupCSX7ID.jpg,0.0,0.0,0.0,,A woman is shown in a cracked circle.,0.0,0.0,0.0,0.0,0.0,,0,,
28454,Cthulhu Mansion,/1BhPMge0n7gp1EDaI7d1OwrYkQe.jpg,0.0,0.0,0.0,occult,skull and fire imagery,0.0,0.0,0.0,0.0,0.0,,0,,
35040,Croc,/c3moWZrfZRp38FWystfNYTrGOh4.jpg,0.0,0.0,0.0,,A wooden dock with a rope leading into the water.,0.0,0.0,0.0,0.0,0.0,,0,,
28780,Deathmaster,/h809Bz0ftjmDl07PdD6URYdAWH2.jpg,0.0,0.0,0.0,,skull and other macabre imagery on a horror movie poster,0.0,0.0,0.0,0.0,0.0,,0,,
21797,The Wig,/bkonX3gOXQ1KC7kr6ufITli4h3o.jpg,0.0,0.0,0.0,,a nude woman is shown in the poster,0.9616,0.0,0.0,0.0,0.0,Emaciated Bodies:0.96|Death and Emaciation:0.96|Visually Disturbing:0.96,1,rek_gore>=0.4,
26587,Dread,/zJvKJ2SKATSRL7cdR2qW2LbaTaS.jpg,0.0,0.0,0.0,,"The poster depicts a woman in a distressed pose, but no explicit sensitive content is shown.",0.0,0.0,0.0,0.0,0.0,,0,,
17212,Patrick,/qxydnHE4D5ArBRNtihlVs5rhhO2.jpg,0.0,0.0,0.0,,A man in a hospital bed with a heart monitor.,0.0,0.0,0.0,0.0,0.0,,0,,
53459,F,/pVIEx8sru5F6NErffwVxs815VYY.jpg,0.0,0.0,0.0,,poster depicts a man with blood on his hoodie,0.8778,0.8778,0.0,0.0,0.0,Blood & Gore:0.88|Graphic Violence:0.88|Violence:0.88,1,rek_gore>=0.4|rek_violence>=0.4,
48581,The Sandman,/k27nu90cLVzyTltOtHjQoUdi5o7.jpg,0.0,0.0,0.0,,a scary bird-like creature is depicted,0.0,0.0,0.0,0.0,0.0,,0,,
51248,11-11-11,/t6Wd9gY6e1yJVVXRtgICFqwieyu.jpg,0.0,0.0,0.0,,A horror movie poster with a dark and ominous atmosphere.,0.0,0.0,0.0,0.0,0.0,,0,,
66315,Aayiram Jenmangal,/83TUWbPMOCGuQPIFw3aO61nIMqa.jpg,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0,,
56915,Blown,/tesN5ykFKmaZms0VIZB9DMKZcDw.jpg,0.0,0.0,0.0,,scary face on poster is not gore or violence,0.0,0.0,0.0,0.0,0.0,,0,,
55142,Cadaver,/dZNg6irU6tgL8n73UmjQGijv6y0.jpg,0.0,0.0,0.0,,a person in a morgue with a rope around their neck,0.0,0.0,0.0,0.0,0.0,,0,,
71480,Unborn But Forgotten,/9R9qTTdkEs3uNPzITUuI4TsyiZc.jpg,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0,,
48636,Nekromantik 2,/q1CtldLFgg4kRP81o0mY9f42ubJ.jpg,1.0,1.0,0.0,gore|violence,graphic depiction of blood and gore on the poster.,0.9957,0.9957,0.0,0.0,0.0,Blood & Gore:1.00|Graphic Violence:1.00|Violence:1.00,1,nova_blood_gore>=0.5|nova_violence>=0.5|rek_gore>=0.4|rek_violence>=0.4,
