id,text,lang_code,lang_score
3006,,,0.0
19205,CTHULHU,en,0.2926
27726,Q,en,0.5
40351,淫屍戲血,zh-TW,1.0
55142,เคอระไชวินใก,th,1.0
73179,Haunted Gold,en,0.9705
88780,,,0.0
100480,食,zh,1.0
145996,鬼見你,zh-TW,1.0
171367,the jar,en,0.9964
212930,theRitual,en,0.7879
245492,geethanjali,en,0.5769
255537,ASHES OF DOOM,en,0.9632
266501,,,0.0
282443,,,0.0
300584,,,0.0
317578,HAPLÓS,ca,0.5403
322530,情意啊動合,zh-TW,1.0
330163,Gorilla,en,0.5105
337029,FRANKENSTEIN,en,0.718
348125,,,0.0
361988,,,0.0
376094,Doomed Disaster,en,0.978
386396,,,0.0
392569,Aadupuliyattam,tk,0.3223
399701,,,0.0
406591,触感ハンター,ja,1.0
419391,,,0.0
424650,,,0.0
440255,,,0.0
447724,,,0.0
450934,목두기 비디오,ko,0.8571
458716,Juego de Niñas,es,0.9847
465996,,,0.0
470757,,,0.0
479876,EMMA,en,0.4141
482435,,,0.0
484393,,,0.0
485751,AGONY,en,0.9177
491564,,,0.0
502617,,,0.0
507961,,,0.0
514101,سفير الجحيم,ar,1.0
516182,,,0.0
524086,,,0.0
527780,,,0.0
529438,,,0.0
533565,,,0.0
542104,Kinavalli,uz,0.4213
548027,,,0.0
553530,,,0.0
557932,,,0.0
565851,,,0.0
568649,,,0.0
578443,,,0.0
583016,,,0.0
591309,,,0.0
601683,,,0.0
606373,,,0.0
609374,,,0.0
617761,,,0.0
630979,,,0.0
639283,,,0.0
643213,,,0.0
644686,,,0.0
652794,,,0.0
657625,,,0.0
662521,,,0.0
666771,H.I.M.,en,0.9997
670638,,,0.0
676285,,,0.0
679985,,,0.0
687766,,,0.0
690131,,,0.0
690799,,,0.0
694556,,,0.0
702649,,,0.0
717972,FLICK,en,0.8947
720667,,,0.0
726025,,,0.0
728295,,,0.0
730103,人間蒸発,zh-TW,1.0
734878,,,0.0
738796,,,0.0
743964,,,0.0
747005,,,0.0
750923,,,0.0
753328,,,0.0
757173,,,0.0
762655,,,0.0
764309,,,0.0
766309,,,0.0
770632,,,0.0
774559,,,0.0
781004,,,0.0
787046,,,0.0
791907,,,0.0
795952,,,0.0
796571,,,0.0
797932,,,0.0
800474,,,0.0
806892,,,0.0
812657,,,0.0
816519,,,0.0
821501,Shapeless,en,0.9814
826099,,,0.0
830358,,,0.0
836519,恐怖新聞,zh-TW,1.0
842120,腐れ女,zh,1.0
848483,P L O V E,en,0.9589
850127,GH5,en,0.4357
853034,,,0.0
855302,鬼魅情缘,zh,1.0
858270,,,0.0
864237,,,0.0
874051,,,0.0
877832,BUCKJONUN,tr,0.7248
881906,,,0.0
886218,,,0.0
893028,,,0.0
897874,,,0.0
904633,,,0.0
912163,,,0.0
923635,シンホロラ,ja,1.0
931099,,,0.0
933224,,,0.0
937747,,,0.0
940754,,,0.0
943003,,,0.0
948124,,,0.0
953160,元市さん,ja,1.0
955672,,,0.0
960678,,,0.0
967588,,,0.0
970324,,,0.0
975078,,,0.0
977647,,,0.0
979737,,,0.0
983565,恐怖動画16,zh-TW,1.0
989253,,,0.0
994138,PARK NATURE,en,0.9262
997833,,,0.0
1005014,,,0.0
1013699,,,0.0
1016385,,,0.0
1021742,,,0.0
1023947,,,0.0
1028999,,,0.0
1034590,virupaksha,en,0.3766
1041478,,,0.0
1047810,,,0.0
1049324,,,0.0
1054022,呪怨日本地図!!杉沢村の呪いを追え,ja,1.0
1059537,KILL TIME,en,0.9979
1067138,踊るお嬢様,ja,1.0
1074246,,,0.0
1078307,,,0.0
1078664,,,0.0
1082779,,,0.0
1085694,,,0.0
1090518,Karungaapiyam,id,0.8478
1093850,,,0.0
1097135,,,0.0
1101683,BiPOLARIS,sv,0.4691
1103985,"パチンコ
女の仇討",ja,0.8889
1110645,,,0.0
1114142,,,0.0
1118367,IDA,mg,0.1919
1121405,,,0.0
1125585,都市伝説 零子學園,zh-TW,0.8889
1131806,,,0.0
1139141,,,0.0
1143007,血を吸う笛,zh,0.9876
1146542,,,0.0
1149695,,,0.0
1151740,,,0.0
1157708,,,0.0
1162936,BABUSHKA,en,0.9157
1166947,鬼校,zh,1.0
1171300,,,0.0
1173168,,,0.0
1174247,鬼橋,zh-TW,1.0
1179402,don khamod,en,0.9307
1180529,สูกระนางราก,th,1.0
1184925,MIDNIGHT OXYGEN,en,0.9406
1189888,,,0.0
1195581,,,0.0
1199073,魔男的蛇,zh,1.0
1201038,,,0.0
1203676,,,0.0
1206990,,,0.0
1211305,,,0.0
1218320,,,0.0
1221579,,,0.0
1227615,,,0.0
1230992,,,0.0
1232818,DESINT'GRATION,en,0.6068
1238437,,,0.0
1241689,,,0.0
1244831,親きあな4,ja,1.0
1249052,京都多電マプ400年的没子,zh-TW,1.0
1255394,,,0.0
1260835,777,en,0.01
1263175,,,0.0
1267079,,,0.0
1271607,"the title text you actually see on the poster, or empty if none",en,0.9975
1277003,,,0.0
1280889,,,0.0
1282649,,,0.0
1287099,,,0.0
1290310,,,0.0
1293300,,,0.0
1296035,shadow people,en,0.9917
1300785,,,0.0
1302691,,,0.0
1306119,人喰い鮫　女,ja,1.0
1308382,おうりりりん,ja,1.0
1311483,,,0.0
1315058,,,0.0
1317033,DEAD FISH,en,0.9954
1318016,,,0.0
1320176,,,0.0
1321069,吸血鬼尖叫,zh,1.0
1321870,,,0.0
1326334,,,0.0
1333104,SNAKE BITE,en,0.9941
1340233,TENTBURNER,en,0.414
1351919,,,0.0
1356347,,,0.0
1361326,,,0.0
1365594,,,0.0
1368769,ହନିମୁନ,or,1.0
1372678,,,0.0
1374642,,,0.0
1377383,,,0.0
1379708,,,0.0
1381901,,,0.0
1383676,,,0.0
1389323,,,0.0
1393570,,,0.0
1395464,,,0.0
1398014,jaa mimo,id,0.2562
1410067,,,0.0
1414507,CHUVA,pt,0.9975
1417605,,,0.0
1424738,,,0.0
1432204,,,0.0
1434208,,,0.0
1436678,,,0.0
1443311,,,0.0
1452443,白馬百物言：みんな效れだいいんだ,ja,1.0
1457768,,,0.0
1460221,,,0.0
1464715,anatta,tr,0.2451
1468983,,,0.0
1475943,,,0.0
1483306,,,0.0
1486442,,,0.0
1492155,,,0.0
1495444,,,0.0
1499297,,,0.0
1504654,,,0.0
1506848,,,0.0
1510606,,,0.0
1515590,MADONNA NON GRATA,en,0.5557
1519482,BARDENSRA,no,0.3144
