id,title,model,text_you_read,verdict,reason,error
3006,Dr. Jekyll and Mr. Hyde,us.amazon.nova-pro-v1:0,,no_title_on_poster,there is no title text present on the image,
19205,Cthulhu,us.amazon.nova-pro-v1:0,CTHULHU,match,the title text on the poster matches the cataloged film title,
27726,Q,us.amazon.nova-pro-v1:0,Q,match,the title 'Q' is clearly visible on the poster,
40351,Sex Beyond the Grave,us.amazon.nova-pro-v1:0,淫屍戲血,mismatch,"the title on the poster is in chinese, not english",
55142,Cadaver,us.amazon.nova-pro-v1:0,เคอระไชวินใก,mismatch,the title text on the poster is not 'Cadaver',
73179,Haunted Gold,us.amazon.nova-pro-v1:0,Haunted Gold,match,the title text matches the catalog entry exactly,
88780,Devil Hunter Yohko 2,us.amazon.nova-pro-v1:0,,no_title_on_poster,There is no visible title text on the poster.,
100480,Kazuo Umezu's Horror Theater: Diet,us.amazon.nova-pro-v1:0,食,mismatch,the title on the poster does not match the cataloged title,
145996,Ghost Meets You,us.amazon.nova-pro-v1:0,鬼見你,match,the title text on the poster matches the catalog entry,
171367,The Jar,us.amazon.nova-pro-v1:0,the jar,match,the title text on the poster matches the catalog listing,
212930,The Ritual,us.amazon.nova-pro-v1:0,theRitual,match,the title text on the poster matches the catalog listing,
245492,Geethanjali,us.amazon.nova-pro-v1:0,geethanjali,match,the title text on the poster matches the catalog entry,
255537,Ashes of Doom,us.amazon.nova-pro-v1:0,ASHES OF DOOM,match,the title text on the poster matches the catalog listing,
266501,Nightmares,us.amazon.nova-pro-v1:0,,no_title_on_poster,There is no visible title text on the poster.,
282443,Hands of Purple Distances,us.amazon.nova-pro-v1:0,,no_title_on_poster,there is no visible title text on the image,
300584,Carranca,us.amazon.nova-pro-v1:0,,no_title_on_poster,there is no title text present on the poster,
317578,Haplos,us.amazon.nova-pro-v1:0,HAPLÓS,match,the title text on the poster matches the catalog entry,
322530,Fantastic Theater,us.amazon.nova-pro-v1:0,情意啊動合,mismatch,the title text on the poster does not match the cataloged title 'Fantastic Theater',
330163,Gorilla,us.amazon.nova-pro-v1:0,Gorilla,match,the title text on the poster matches the catalog listing,
337029,Frankenstein,us.amazon.nova-pro-v1:0,FRANKENSTEIN,match,the title text on the poster matches the cataloged film name,
348125,Rodentia,us.amazon.nova-pro-v1:0,,no_title_on_poster,There is no visible title text on the poster.,
361988,Bad Moon Rising,us.amazon.nova-pro-v1:0,,no_title_on_poster,there is no title text on the poster,
376094,Doomed Disaster,us.amazon.nova-pro-v1:0,Doomed Disaster,match,The title text on the poster matches the catalog entry.,
386396,Mondomanila: Institusyon ng Makata,us.amazon.nova-pro-v1:0,,no_title_on_poster,No legible title text is present on the poster.,
392569,Aadupuliyattam,us.amazon.nova-pro-v1:0,Aadupuliyattam,match,the title text on the poster matches the catalog listing,
399701,Vampirisme,us.amazon.nova-pro-v1:0,,no_title_on_poster,there is no title text present on the poster,
406591,Hunters' Sense of Touch,us.amazon.nova-pro-v1:0,触感ハンター,match,the title text on the poster matches the catalog listing,
419391,Grýla,us.amazon.nova-pro-v1:0,,no_title_on_poster,there is no title text present on the poster,
424650,Affection,us.amazon.nova-pro-v1:0,,no_title_on_poster,There is no visible title text on the poster.,
440255,The Road,us.amazon.nova-pro-v1:0,,no_title_on_poster,no title text present on the image,
447724,HighWay,us.amazon.nova-pro-v1:0,,no_title_on_poster,No title text is visible on the poster.,
450934,Mokdugi Video,us.amazon.nova-pro-v1:0,목두기 비디오,match,The title text on the poster matches the catalog listing.,
458716,Juego de niñas,us.amazon.nova-pro-v1:0,Juego de Niñas,match,the title text on the poster matches the cataloged film title,
465996,Flow,us.amazon.nova-pro-v1:0,,no_title_on_poster,There is no visible title text on the poster.,
470757,Waxhouse Rock,us.amazon.nova-pro-v1:0,,no_title_on_poster,There is no visible title text on the poster.,
479876,Emma,us.amazon.nova-pro-v1:0,EMMA,match,The title text on the poster matches the catalog listing.,
482435,The Queen of Spades,us.amazon.nova-pro-v1:0,,no_title_on_poster,there is no title text present on the poster,
484393,Paleni Carodejnic,us.amazon.nova-pro-v1:0,,no_title_on_poster,there is no visible title text on the poster,
485751,Agony,us.amazon.nova-pro-v1:0,AGONY,match,the title text on the poster matches the catalog entry,
491564,Deafman Glance,us.amazon.nova-pro-v1:0,,no_title_on_poster,no title text present on the poster,
502617,M is for Make Believe,us.amazon.nova-pro-v1:0,,no_title_on_poster,no title text present on the poster,
507961,Monstro,us.amazon.nova-pro-v1:0,,no_title_on_poster,there is no title text present on the poster,
514101,Ambassador of Hell,us.amazon.nova-pro-v1:0,سفير الجحيم,match,the arabic text on the poster matches the catalog title 'Ambassador of Hell',
516182,Broken Flesh Ecstasy,us.amazon.nova-pro-v1:0,,no_title_on_poster,no legible title text found on the image,
