id,lang_code,text,translated,overlap_before,overlap_after,error
3006,,,,0.0,0.0,
19205,en,CTHULHU,,1.0,1.0,
27726,en,Q,,0.0,0.0,
40351,zh-TW,淫屍戲血,Zombie Bloods,0.0,0.0,
55142,th,เคอระไชวินใก,Kerachin Bay,0.0,0.0,
73179,en,Haunted Gold,,1.0,1.0,
88780,,,,0.0,0.0,
100480,zh,食,Food,0.0,0.0,
145996,zh-TW,鬼見你,Ghost See You,0.0,0.6667,
171367,en,the jar,,1.0,1.0,
212930,en,theRitual,,0.0,0.0,
245492,en,geethanjali,,1.0,1.0,
255537,en,ASHES OF DOOM,,1.0,1.0,
266501,,,,0.0,0.0,
282443,,,,0.0,0.0,
300584,,,,0.0,0.0,
317578,ca,HAPLÓS,HAPLOS,0.0,1.0,
322530,zh-TW,情意啊動合,"Sentiment, love.",0.0,0.0,
330163,en,Gorilla,,1.0,1.0,
337029,en,FRANKENSTEIN,,1.0,1.0,
348125,,,,0.0,0.0,
361988,,,,0.0,0.0,
376094,en,Doomed Disaster,,1.0,1.0,
386396,,,,0.0,0.0,
392569,tk,Aadupuliyattam,,1.0,1.0,
399701,,,,0.0,0.0,
406591,ja,触感ハンター,Tactile Hunter,0.0,0.0,
419391,,,,0.0,0.0,
424650,,,,0.0,0.0,
440255,,,,0.0,0.0,
447724,,,,0.0,0.0,
450934,ko,목두기 비디오,Neckline video,0.0,0.5,
458716,es,Juego de Niñas,,1.0,1.0,
465996,,,,0.0,0.0,
470757,,,,0.0,0.0,
479876,en,EMMA,,1.0,1.0,
482435,,,,0.0,0.0,
484393,,,,0.0,0.0,
485751,en,AGONY,,1.0,1.0,
491564,,,,0.0,0.0,
502617,,,,0.0,0.0,
507961,,,,0.0,0.0,
514101,ar,سفير الجحيم,The Ambassador of Hell,0.0,1.0,
516182,,,,0.0,0.0,
524086,,,,0.0,0.0,
527780,,,,0.0,0.0,
529438,,,,0.0,0.0,
533565,,,,0.0,0.0,
542104,uz,Kinavalli,,1.0,1.0,
548027,,,,0.0,0.0,
553530,,,,0.0,0.0,
557932,,,,0.0,0.0,
565851,,,,0.0,0.0,
568649,,,,0.0,0.0,
578443,,,,0.0,0.0,
583016,,,,0.0,0.0,
591309,,,,0.0,0.0,
601683,,,,0.0,0.0,
606373,,,,0.0,0.0,
609374,,,,0.0,0.0,
617761,,,,0.0,0.0,
630979,,,,0.0,0.0,
639283,,,,0.0,0.0,
643213,,,,0.0,0.0,
644686,,,,0.0,0.0,
652794,,,,0.0,0.0,
657625,,,,0.0,0.0,
662521,,,,0.0,0.0,
666771,en,H.I.M.,,0.0,0.0,
670638,,,,0.0,0.0,
676285,,,,0.0,0.0,
679985,,,,0.0,0.0,
687766,,,,0.0,0.0,
690131,,,,0.0,0.0,
690799,,,,0.0,0.0,
694556,,,,0.0,0.0,
702649,,,,0.0,0.0,
717972,en,FLICK,,1.0,1.0,
720667,,,,0.0,0.0,
726025,,,,0.0,0.0,
728295,,,,0.0,0.0,
730103,zh-TW,人間蒸発,Human Steaming,0.0,0.3333,
734878,,,,0.0,0.0,
738796,,,,0.0,0.0,
743964,,,,0.0,0.0,
747005,,,,0.0,0.0,
750923,,,,0.0,0.0,
753328,,,,0.0,0.0,
757173,,,,0.0,0.0,
762655,,,,0.0,0.0,
764309,,,,0.0,0.0,
766309,,,,0.0,0.0,
770632,,,,0.0,0.0,
774559,,,,0.0,0.0,
781004,,,,0.0,0.0,
787046,,,,0.0,0.0,
791907,,,,0.0,0.0,
795952,,,,0.0,0.0,
796571,,,,0.0,0.0,
797932,,,,0.0,0.0,
800474,,,,0.0,0.0,
806892,,,,0.0,0.0,
812657,,,,0.0,0.0,
816519,,,,0.0,0.0,
821501,en,Shapeless,,1.0,1.0,
826099,,,,0.0,0.0,
830358,,,,0.0,0.0,
836519,zh-TW,恐怖新聞,Horror News,0.0,1.0,
842120,zh,腐れ女,Rotten Woman,0.0,0.3333,
848483,en,P L O V E,,0.0,0.0,
850127,en,GH5,,1.0,1.0,
853034,,,,0.0,0.0,
855302,zh,鬼魅情缘,Haunted Love,0.0,0.0,
858270,,,,0.0,0.0,
864237,,,,0.0,0.0,
874051,,,,0.0,0.0,
877832,tr,BUCKJONUN,BUCKJONUN,0.0,0.0,
881906,,,,0.0,0.0,
886218,,,,0.0,0.0,
893028,,,,0.0,0.0,
897874,,,,0.0,0.0,
904633,,,,0.0,0.0,
912163,,,,0.0,0.0,
923635,ja,シンホロラ,Shinhorola,0.0,0.0,
931099,,,,0.0,0.0,
933224,,,,0.0,0.0,
937747,,,,0.0,0.0,
940754,,,,0.0,0.0,
943003,,,,0.0,0.0,
948124,,,,0.0,0.0,
953160,ja,元市さん,Mr. Motoichi,0.0,0.0,
955672,,,,0.0,0.0,
960678,,,,0.0,0.0,
967588,,,,0.0,0.0,
970324,,,,0.0,0.0,
975078,,,,0.0,0.0,
977647,,,,0.0,0.0,
979737,,,,0.0,0.0,
983565,zh-TW,恐怖動画16,Horror Movies 16,0.2,0.4,
989253,,,,0.0,0.0,
994138,en,PARK NATURE,,0.5,0.5,
997833,,,,0.0,0.0,
1005014,,,,0.0,0.0,
1013699,,,,0.0,0.0,
1016385,,,,0.0,0.0,
1021742,,,,0.0,0.0,
1023947,,,,0.0,0.0,
1028999,,,,0.0,0.0,
1034590,en,virupaksha,,1.0,1.0,
1041478,,,,0.0,0.0,
1047810,,,,0.0,0.0,
1049324,,,,0.0,0.0,
1054022,ja,呪怨日本地図!!杉沢村の呪いを追え,Curse Japan Map!! Follow the curse of Sugisawa Village,0.0,0.7778,
1059537,en,KILL TIME,,1.0,1.0,
1067138,ja,踊るお嬢様,dancing young lady,0.0,0.5,
1074246,,,,0.0,0.0,
1078307,,,,0.0,0.0,
1078664,,,,0.0,0.0,
1082779,,,,0.0,0.0,
1085694,,,,0.0,0.0,
1090518,id,Karungaapiyam,,1.0,1.0,
1093850,,,,0.0,0.0,
1097135,,,,0.0,0.0,
1101683,sv,BiPOLARIS,,1.0,1.0,
1103985,ja,"パチンコ
女の仇討","slingshot
A Woman's Revenge",0.0,0.4,
1110645,,,,0.0,0.0,
1114142,,,,0.0,0.0,
1118367,mg,IDA,,1.0,1.0,
1121405,,,,0.0,0.0,
1125585,zh-TW,都市伝説 零子學園,Urban Legend Zero School,0.0,0.4,
1131806,,,,0.0,0.0,
1139141,,,,0.0,0.0,
1143007,zh,血を吸う笛,Blood-sucking whistle,0.0,0.25,
1146542,,,,0.0,0.0,
1149695,,,,0.0,0.0,
1151740,,,,0.0,0.0,
1157708,,,,0.0,0.0,
1162936,en,BABUSHKA,,1.0,1.0,
1166947,zh,鬼校,Ghost school,0.0,0.5,
1171300,,,,0.0,0.0,
1173168,,,,0.0,0.0,
1174247,zh-TW,鬼橋,Ghost Bridge,0.0,0.5,
1179402,en,don khamod,,1.0,1.0,
1180529,th,สูกระนางราก,Root Sugarcane,0.0,0.0,
1184925,en,MIDNIGHT OXYGEN,,1.0,1.0,
1189888,,,,0.0,0.0,
1195581,,,,0.0,0.0,
1199073,zh,魔男的蛇,The devil's snake,0.0,0.5,
1201038,,,,0.0,0.0,
