id,title,year,original_language,poster_path,human_verdict,has_text,human_note
3006,"Dr. Jekyll and Mr. Hyde",1908,en,/hYArtU4tx01bOBeBLrkH1lY4VGb.jpg,no_seguro,,""
9095,"Mary Reilly",1996,en,/cW5wTiv5fdtBOd22utmAIZBCMS3.jpg,es_poster,si,"El poster si tiene texto y dice Mary Reilly"
9669,"Ringu 2",1999,ja,/HREqYQWkGnH2viRQEXupCSX7ID.jpg,es_poster,si,"El poster si tiene texto y dice Ring 2"
13742,"Satan",2006,fr,/rYdoMFMBbG7tzurtHrYNc1zcqQz.jpg,es_poster,si,"El poster si tiene texto y dice SHEITAN"
14157,"Impulse",1984,en,/80SZWcSwdAAym8mHN71RTL3l3JI.jpg,es_poster,si,"La imagen si tiene texto y dice Impulse"
17212,"Patrick",1978,en,/qxydnHE4D5ArBRNtihlVs5rhhO2.jpg,es_poster,si,"La imagen si tiene texto y dice PATRICK"
17796,"Freaked",1993,en,/enQ9FBLo4bd7AHX78geP6qRSl9U.jpg,es_poster,si,"El poster si tiene texto y dice Freaked"
17874,"Laserblast",1978,en,/jxv1Z0URENuWADDRwvRINUWUsP.jpg,es_poster,si,"La imagen si tiene texto y dice Laserblast"
19205,"Cthulhu",2008,en,/rgf0vEc19nRmscRPu9y410GbhgM.jpg,es_poster,si,"El texto si tien texto y dice CTHULHU"
20015,"KM 31: Kilometer 31",2006,es,/hI1YBR4afo7zOrJfdaaO9GRKEvj.jpg,es_poster,si,"La imagen si tiene texto y dice KM 31"
20215,"Boo",2005,en,/9VyMAPsjUIeLf71J2OG5V8DO7Jj.jpg,es_poster,si,"La imagen tiene texto y dice BOO"
21797,"The Wig",2005,ko,/bkonX3gOXQ1KC7kr6ufITli4h3o.jpg,es_poster,si,""
22033,"Cry of the Banshee",1970,en,/urub0N7F8mZDEsMwORiN2T2vTXq.jpg,es_poster,si,""
26178,"Razorback",1984,en,/227exUUzUWkCYOVoPxap5RaVmTM.jpg,es_poster,si,""
26198,"The Keep",1983,en,/yd9wU3oajNxwaFHQ02rtTBuSFJD.jpg,es_poster,si,""
26587,"Dread",2009,en,/zJvKJ2SKATSRL7cdR2qW2LbaTaS.jpg,es_poster,si,""
27726,"Q",1982,en,/hm5mvCN7IMAFjtkQwL4U1qwoJ4c.jpg,no_seguro,si,""
28454,"Cthulhu Mansion",1992,en,/1BhPMge0n7gp1EDaI7d1OwrYkQe.jpg,es_poster,si,""
28780,"Deathmaster",1972,en,/h809Bz0ftjmDl07PdD6URYdAWH2.jpg,es_poster,si,""
30405,"Space Psychos 4",2003,en,/tuVTqvIoQp96cnm7LfbyRE1UcaT.jpg,no_es_poster,,""
31116,"Zaat",1971,en,/g0kYZe6feiXQowaNsV6GBW5R5q0.jpg,es_poster,si,""
