id,title,original_title,year,original_language,poster_path
3006,Dr. Jekyll and Mr. Hyde,Dr. Jekyll and Mr. Hyde,1908,en,/hYArtU4tx01bOBeBLrkH1lY4VGb.jpg
9095,Mary Reilly,Mary Reilly,1996,en,/cW5wTiv5fdtBOd22utmAIZBCMS3.jpg
9669,Ringu 2,リング 2,1999,ja,/HREqYQWkGnH2viRQEXupCSX7ID.jpg
13742,Satan,Sheitan,2006,fr,/rYdoMFMBbG7tzurtHrYNc1zcqQz.jpg
14157,Impulse,Impulse,1984,en,/80SZWcSwdAAym8mHN71RTL3l3JI.jpg
17212,Patrick,Patrick,1978,en,/qxydnHE4D5ArBRNtihlVs5rhhO2.jpg
17796,Freaked,Freaked,1993,en,/enQ9FBLo4bd7AHX78geP6qRSl9U.jpg
17874,Laserblast,Laserblast,1978,en,/jxv1Z0URENuWADDRwvRINUWUsP.jpg
19205,Cthulhu,Cthulhu,2008,en,/rgf0vEc19nRmscRPu9y410GbhgM.jpg
20015,KM 31: Kilometer 31,KM 31: Kilometro 31,2006,es,/hI1YBR4afo7zOrJfdaaO9GRKEvj.jpg
20215,Boo,Boo,2005,en,/9VyMAPsjUIeLf71J2OG5V8DO7Jj.jpg
21797,The Wig,가발,2005,ko,/bkonX3gOXQ1KC7kr6ufITli4h3o.jpg
22033,Cry of the Banshee,Cry of the Banshee,1970,en,/urub0N7F8mZDEsMwORiN2T2vTXq.jpg
26178,Razorback,Razorback,1984,en,/227exUUzUWkCYOVoPxap5RaVmTM.jpg
26198,The Keep,The Keep,1983,en,/yd9wU3oajNxwaFHQ02rtTBuSFJD.jpg
26587,Dread,Dread,2009,en,/zJvKJ2SKATSRL7cdR2qW2LbaTaS.jpg
27726,Q,Q,1982,en,/hm5mvCN7IMAFjtkQwL4U1qwoJ4c.jpg
28454,Cthulhu Mansion,La mansión de los Cthulhu,1992,en,/1BhPMge0n7gp1EDaI7d1OwrYkQe.jpg
28780,Deathmaster,Deathmaster,1972,en,/h809Bz0ftjmDl07PdD6URYdAWH2.jpg
30405,Space Psychos 4,Space Psychos 4,2003,en,/tuVTqvIoQp96cnm7LfbyRE1UcaT.jpg
31116,Zaat,Zaat,1971,en,/g0kYZe6feiXQowaNsV6GBW5R5q0.jpg
31232,It!,It!,1967,en,/sBMFTviUDt6bm8LROkAWAvw1Ts5.jpg
35040,Croc,Croc,2007,en,/c3moWZrfZRp38FWystfNYTrGOh4.jpg
36166,Devilman,デビルマン,2004,ja,/qRvH8FsUUNd9buirqnHNk3CCF1f.jpg
40351,Sex Beyond the Grave,Fung lau yuen gwai,1984,en,/eYMPaQKfo5IBAnKfwsGkCiUIyNA.jpg
40368,Nightmare,Nightmare,1981,en,/OFysFt0EIXHW89iv38VURpKpKW.jpg
47957,Madman,Madman,1981,en,/2pZxY7b22LicdcvWNMCyX8VseVG.jpg
48581,The Sandman,The Sandman,1991,xx,/k27nu90cLVzyTltOtHjQoUdi5o7.jpg
48636,Nekromantik 2,Nekromantik 2,1991,de,/q1CtldLFgg4kRP81o0mY9f42ubJ.jpg
51248,11-11-11,11-11-11,2011,en,/t6Wd9gY6e1yJVVXRtgICFqwieyu.jpg
53122,Chandramukhi,சந்திரமுகி,2005,ta,/r7lLdyiJ1e2FmDP6rvxsUDk7Uju.jpg
53459,F,F,2010,en,/pVIEx8sru5F6NErffwVxs815VYY.jpg
55142,Cadaver,ศพ,2006,th,/dZNg6irU6tgL8n73UmjQGijv6y0.jpg
56328,2002,異靈靈異,,cn,/3SJBGwJnpLI2yEyaVqByife4Xfi.jpg
56915,Blown,Blown,2005,en,/tesN5ykFKmaZms0VIZB9DMKZcDw.jpg
57812,51,51,2011,en,/p6NvaDusl8urJUlglYgPVSnJjFN.jpg
57961,Slashers,Slashers,2001,en,/7NcCGeHLz0iRidiOo109Hww24YP.jpg
65599,The Woman,The Woman,2011,en,/zOGqKcuApM1Js4C0n4luv9rctBH.jpg
66315,Aayiram Jenmangal,Aayiram Jenmangal,1978,ta,/83TUWbPMOCGuQPIFw3aO61nIMqa.jpg
71480,Unborn But Forgotten,하얀방,2002,ko,/9R9qTTdkEs3uNPzITUuI4TsyiZc.jpg
73179,Haunted Gold,Haunted Gold,1932,en,/xAscwFtgLyzoxRghiospveh3WQm.jpg
77483,Dunderland,Dunderland,2012,no,/xrqMYN3SWR9hih1kthH9nosghp1.jpg
79624,Curse,犬神の悪霊,1977,ja,/qBJfmLCtczkayFXduwhFvX9vsZm.jpg
81990,Cellular Girlfriends,携帯彼女,2011,ja,/hCNoSI6vBIfVR4ndMnCLLiFxHjy.jpg
83172,Spawn of the Slithis,Spawn of the Slithis,1978,en,/kk2yyfgTA9qtBhtu7016jdeOzJP.jpg
83519,Witchcraft,Witchcraft,1964,en,/nXxxW0Gl66xqwJE9fpTLN0bPqBh.jpg
85198,Frightmare,Frightmare,1983,en,/joQ36TBtUfMlQilc44gcRiY5Nqv.jpg
85646,Entrance,Entrance,2012,en,/bpsMVtUZ58bPpI9U34E1pOgin5v.jpg
88780,Devil Hunter Yohko 2,魔物ハンター妖子２,1992,ja,/8PIMzpG8vnBcmA0FmRc2gAtp7Eo.jpg
88784,Devil Hunter Yohko 4-Ever,魔物ハンター妖子スーパー・ミュージック・クリップ,1993,ja,/4v9qSCcbsOMketpZDL07Y5VT1pj.jpg
90063,Vampires in Havana,¡Vampiros en La Habana!,1985,es,/cihNBv06b3H2Ha91YTGBFUk2M48.jpg
90338,Fiend,Fiend,1980,en,/nne4ZJsEX0pMV6YmUUuMI9BpJIg.jpg
94545,The Bushwhacker,The Bushwhacker,1968,en,/fO6eXDta3pHMxm5iF8gjt56xVkZ.jpg
98084,Legion of Fire: Killer Ants,Legion of Fire: Killer Ants,1998,en,/cNpK3zhp0z3ZKL6znVMPxbz7jME.jpg
99263,Schizophreniac: The Whore Mangler,Schizophreniac: The Whore Mangler,1997,en,/xVvIFcx8Q1tqBeN3sUTsllj96oN.jpg
100241,"I, Frankenstein","I, Frankenstein",2014,en,/a53tIl4k20zCZCNyq73kiXkwWkl.jpg
100480,Kazuo Umezu's Horror Theater: Diet,楳図かずお恐怖劇場  絶食,2005,ja,/QkudYfCXTfUUfJJ4cP7gYQpYXG.jpg
106569,The Demon,鬼,1972,ja,/3OeXwL6EgZsOhmP1NUAoichX4qx.jpg
123107,Hellbenders,Hellbenders,2013,en,/sWgCQPypdN9jFaUSjItPn9htW9p.jpg
126830,Li'l Spider Girl,わすれなぐも,2012,ja,/wafbftomue5BnIsSXN2ircyBMQh.jpg
128519,In the Name of the Devil,En el nombre del diablo,2002,es,/dnPnqkFThbB0FXn5KaVIClRZeEs.jpg
129096,The Discarnates,異人たちとの夏,,ja,/fQx2VEF2mVEtWmrSiwglKhuQKa2.jpg
129465,Hells,HELLS ANGELS,2008,ja,/wzakuhm5mMxZXt6oP6CbkJuA7rV.jpg
134572,Blood Relations,Blood Relations,1988,en,/o2iVp7bFxaBqw9e1IkfEWBanZD1.jpg
145996,Ghost Meets You,鬼同你有緣,2000,cn,/oVYISQE1IjT9U5Vf2TOdBCdG0gb.jpg
151022,Gerorisuto,Gerorisuto,1990,ja,/bHOdQQRjeSkrSBT0YQHFYUe8X7i.jpg
152357,Kana Kanmani,കാണാ കൺമണി,2009,ml,/94huaMTsf6dltbjCQ5CQRPq5VEf.jpg
152810,Moonnamathoral,മൂന്നാമതൊരാള്‍,2006,ml,/srMkWZnS0naqvxT9AmsGimW6Dwg.jpg
161160,When Twilight Draws Near,宵闇せまれば,1969,ja,/78s81p7KAfzsnDeZAxE2SllnwPO.jpg
163617,Ghosts,凶宅幽灵,2002,cn,/uJeW307HXACHMA5sHgVoCvmbTtY.jpg
166201,Bog,Bog,1979,en,/3ZLzEJl2S1ro0NJXVgd1E3bNHkv.jpg
166271,Haunter,Haunter,2013,en,/gBsO7Sp3g1oOaxQ44pomsJLm7m7.jpg
171367,The Jar,The Jar,1984,en,/1mhXTLL1xJGaXl7kPv3LY6a09m3.jpg
174838,Atman,アートマン,1975,ja,/h70qCMirvroESUDhR1UyA3k6xdq.jpg
194759,Reel Horror,Reel Horror,1985,en,/5oFEDIs7hJHqOaINGNpZDdpUipH.jpg
194809,Anandabhadram,അനന്തഭദ്രം,2005,ml,/d7f3ZFCobD9Em3dUMDP2Rk7NB40.jpg
200402,Prema Katha Chitram,ప్రేమకథ చిత్రం,2013,te,/7m8mNU3EyW7Mc2uS5fIkzjmA76R.jpg
201343,Satan Bouche un Coin,Satan Bouche un Coin,1968,fr,/nOOY0OMZFrN3a6feUNZAgGnjWFa.jpg
203009,Blackwood Evil,Blackwood Evil,2000,en,/duJ88UxyhpAyLtTDnQHtF9ficeO.jpg
