id,title,model,text_you_read,verdict,reason,error
80809,Perry Mason Returns,us.amazon.nova-pro-v1:0,PERRY MASON MOVIE COLLECTION DOUBLE FEATURE 1,mismatch,the title on the poster is different from the catalog title,
85755,Perry Mason: The Case of the Heartbroken Bride,us.amazon.nova-pro-v1:0,the case of the heartbroken bride,match,the title on the poster matches the cataloged title,
89463,Perry Mason: The Case of the Sinister Spirit,us.amazon.nova-pro-v1:0,the case of the sinister spirit,match,the title on the poster matches the catalog entry,
95400,Perry Mason: The Case of the Reckless Romeo,us.amazon.nova-pro-v1:0,the case of the reckless romeo,match,the title on the poster matches the cataloged title,
97073,Perry Mason: The Case of the Skin-Deep Scandal,us.amazon.nova-pro-v1:0,the case of the skin deep scandal,match,matches cataloged title,
128019,Skånska mord - Hurvamorden,us.amazon.nova-pro-v1:0,skånska mord,match,matches cataloged title,
128020,Skånska mord - Yngsjömordet,us.amazon.nova-pro-v1:0,SKANSK MORD,mismatch,the title on the poster is different from the catalog title,
144686,The Lift,us.amazon.nova-pro-v1:0,REEL TALENT,mismatch,the text on the poster does not match the cataloged film title,
153730,Scary True Stories,us.amazon.nova-pro-v1:0,SCARY TRUE STORIES,match,the title text on the poster matches the cataloged film name,
174219,"The Hazards of Helen: Episode13, The Escape on the Fast Freight",us.amazon.nova-pro-v1:0,the hazards of helen,match,the title on the poster matches the catalog entry,
174220,The Hazards of Helen Ep26: The Wild Engine,us.amazon.nova-pro-v1:0,the hazards of helen,match,the title on the poster matches the catalog listing,
186514,Blake of Scotland Yard,us.amazon.nova-pro-v1:0,BLAKE OF SCOTLAND YARD,match,the title text on the poster matches the catalog listing,
219252,Yotsuya Ghost Story Part 1,us.amazon.nova-pro-v1:0,四谷怪談,match,the title text matches the catalog entry,
219253,Yotsuya Ghost Story Part 2,us.amazon.nova-pro-v1:0,四谷怪談,mismatch,the title on the poster is not 'Yotsuya Ghost Story Part 2',
225577,Perry Mason: The Case of the Murdered Madam,us.amazon.nova-pro-v1:0,the case of the sinister spirit,mismatch,the title on the poster does not match the cataloged film title,
226675,Perry Mason: The Case of the Grimacing Governor,us.amazon.nova-pro-v1:0,THE CASE OF THE GRIMACING GOVERNOR,match,matches cataloged title,
226679,Perry Mason: The Case of the Jealous Jokester,us.amazon.nova-pro-v1:0,the case of the jealous jokester,match,the title on the poster matches the catalog listing,
226686,Perry Mason: The Case of the Notorious Nun,us.amazon.nova-pro-v1:0,the case of the notorious nun,match,the title on the poster matches the cataloged film title,
228257,Perry Mason: The Case of the Fatal Framing,us.amazon.nova-pro-v1:0,the case of the fatal framing,match,the title on the poster matches the cataloged title,
229088,Perry Mason: The Case of the Poisoned Pen,us.amazon.nova-pro-v1:0,the case of the poisoned pen,match,the title on the poster matches the cataloged title,
229102,Perry Mason: The Case of the Desperate Deception,us.amazon.nova-pro-v1:0,the case of the desperate deception,match,the title on the poster matches the catalog listing,
240333,Blake of Scotland Yard,us.amazon.nova-pro-v1:0,BLAKE OF SCOTLAND YARD,match,the title text on the poster matches the catalog listing,
246953,The Open Track,us.amazon.nova-pro-v1:0,HELEN GIBSON SILENT SERIAL QUEEN,no_title_on_poster,The text on the poster does not match the catalog title 'The Open Track'.,
251282,Mad God: Part 1,us.amazon.nova-pro-v1:0,MAD GOD,mismatch,"the catalog title includes "": Part 1"" which is not on the poster",
270496,The Wrong Train Order,us.amazon.nova-pro-v1:0,HELEN GIBSON SILENT SERIAL QUEEN,mismatch,the title on the poster does not match the cataloged film title,
270500,The Governor's Special,us.amazon.nova-pro-v1:0,HELEN GIBSON SILENT SERIAL QUEEN,mismatch,the title on the poster does not match the cataloged film title,
