id,title,mega_title_text,mega_blood_gore,mega_violence,mega_sexual_content,mega_sensitive,error
26587,Dread,,0.0,0.0,0.0,none,
17796,Freaked,Freaked,0.0,0.0,0.0,none,
13742,Satan,Sheitan,0.0,0.0,0.0,none,
28454,Cthulhu Mansion,Cthulhu Mansion,0.0,0.0,0.0,occult,
20215,Boo,Boo,0.0,0.0,0.0,occult,
17212,Patrick,PATRICK,0.0,0.2,0.0,violence,
26198,The Keep,The Keep,0.0,0.0,0.0,none,
31232,It!,,0.5,0.6,0.7,violence|gore|nudity|sexual,
31116,Zaat,ZAAAT,0.8,0.7,0.5,violence|gore|nudity,
9095,Mary Reilly,Mary Reilly,0.0,0.0,0.0,none,
17874,Laserblast,Laserblast,0.1,0.7,0.0,violence,
9669,Ringu 2,Ring,0.0,0.0,0.0,occult,
26178,Razorback,Razorback,0.6,0.7,0.1,violence|gore,
14157,Impulse,Impulse,0.0,0.0,0.8,sexual,
21797,The Wig,WIG,0.0,0.0,0.2,nudity,
28780,Deathmaster,The Deathmaster,0.2,0.3,0.4,nudity|occult,
53459,F,F,0.8,0.8,0.0,violence|gore,
56915,Blown,Blown,0.1,0.1,0.0,violence|gore,
71480,Unborn But Forgotten,,0.0,0.0,0.0,none,
55142,Cadaver,Shutter,0.0,0.0,0.0,occult,
48581,The Sandman,The Sandman,0.0,0.0,0.0,occult,
22033,Cry of the Banshee,Cry Banshee,0.3,0.4,0.0,violence|gore|occult,
35040,Croc,CRO,0.0,0.0,0.0,none,
65599,The Woman,The Woman,0.9,0.8,0.1,violence|gore,
57812,51,,0.0,0.0,0.0,none,
48636,Nekromantik 2,Nux Romantic 2,0.9,0.8,0.7,violence|gore|nudity|sexual,
57961,Slashers,Slashers,0.7,0.8,0.1,violence|gore,
53122,Chandramukhi,,0.0,0.0,0.0,none,
81990,Cellular Girlfriends,大家子学,0.0,0.0,0.0,none,
19205,Cthulhu,Cthulhu,0.0,0.0,0.0,occult,
79624,Curse,,0.0,0.0,0.0,none,
77483,Dunderland,Darkland,0.0,0.0,0.0,none,
36166,Devilman,Devilman,0.1,0.2,0.0,violence|occult,
40368,Nightmare,Nightmare,0.0,0.1,0.1,violence|sexual,
47957,Madman,Madman,0.0,0.7,0.0,violence|occult,
66315,Aayiram Jenmangal,,0.0,0.0,0.0,none,
40351,Sex Beyond the Grave,,0.9,0.8,0.8,violence|gore|nudity|sexual,
73179,Haunted Gold,Haunted Gold,0.0,0.0,0.0,none,
100480,Kazuo Umezu's Horror Theater: Diet,,0.0,0.0,0.0,none,
83519,Witchcraft,Witchcraft,0.0,0.1,0.0,occult,
83172,Spawn of the Slithis,Ghouls,0.85,0.7,0.0,violence|gore,
90338,Fiend,Fend,0.8,0.8,0.0,violence|gore,
106569,The Demon,,0.1,0.2,0.0,violence|occult,
129096,The Discarnates,,0.0,0.0,0.0,none,
85646,Entrance,ENTRANCE,0.0,0.0,0.0,none,
90063,Vampires in Havana,Vampires in Havana,0.0,0.0,0.0,none,
56328,2002,,0.0,0.2,0.0,none,
126830,Li'l Spider Girl,,0.0,0.0,0.0,none,
20015,KM 31: Kilometer 31,,0.1,0.2,0.0,occult,
145996,Ghost Meets You,,0.0,0.0,0.2,none,
134572,Blood Relations,Blood Relations,0.7,0.3,0.5,gore|sexual,
151022,Gerorisuto,,0.0,0.0,0.0,none,
85198,Frightmare,Frightmare,0.6,0.5,0.0,violence|gore,
152357,Kana Kanmani,,0.0,0.0,0.0,none,
166271,Haunter,Haunted,0.0,0.0,0.0,none,
100241,"I, Frankenstein","I, Frankenstein",0.1,0.7,0.0,violence|occult,
94545,The Bushwhacker,The Bigsucker,0.0,0.0,0.8,nudity|sexual,
99263,Schizophreniac: The Whore Mangler,SCHIZOPHORENIAC,0.0,0.7,0.0,violence,
171367,The Jar,The Jar,0.6,0.4,0.0,violence|gore,
235348,100 Years of Torture: The History,,0.0,0.8,0.0,violence,
161160,When Twilight Draws Near,,0.0,0.0,0.0,none,
194759,Reel Horror,Reel Horror,0.7,0.8,0.3,violence|gore,
200402,Prema Katha Chitram,,0.0,0.0,0.0,none,
123107,Hellbenders,Hellbenders,0.5,0.6,0.0,violence|occult,
129465,Hells,HELLS,0.1,0.8,0.0,violence|occult,
152810,Moonnamathoral,,0.0,0.0,0.1,none,
212930,The Ritual,,0.0,0.0,0.0,none,
203009,Blackwood Evil,Blackwood Evil,0.5,0.3,0.0,occult|blood,
233203,Hong Kong Criminal Archives - Female Butcher,,0.0,0.0,0.0,none,
98084,Legion of Fire: Killer Ants,MARABUNTA,0.0,0.3,0.0,violence,
250574,Creep,Creep,0.0,0.0,0.0,none,
259512,The Devil´s Weed,,0.0,0.0,0.0,none,
