id,nova_blood_gore,nova_violence,nova_sexual_content
1103892,0.3,0.1,0.0
1137251,0.1,0.0,0.0
1145277,0.3,0.3,0.0
1118367,0.1,0.0,0.0
1179996,0.0,0.0,0.0
1178529,0.1,0.1,0.0
1174247,0.0,0.0,0.0
1097612,0.0,0.0,0.0
1150696,0.1,0.1,0.0
1091407,0.1,0.0,0.0
1023253,0.1,0.0,0.0
1054626,0.0,0.0,0.0
1127560,0.0,0.0,0.0
1144719,0.0,0.0,0.0
1083771,0.0,0.0,0.0
1143007,0.1,0.1,0.0
1042720,0.0,0.0,0.0
1192020,0.1,0.1,0.0
1199122,0.1,0.1,0.0
1203023,0.0,0.0,0.0
1012410,0.0,0.0,0.0
100241,0.0,0.0,0.0
1190953,0.0,0.0,0.0
1174342,0.0,0.0,0.0
1232818,0.1,0.1,0.0
1249591,0.1,0.1,0.0
1180377,0.0,0.0,0.0
123107,0.0,0.0,0.0
1231306,0.1,0.0,0.0
1306112,0.1,0.1,0.0
1255452,0.1,0.1,0.0
129465,0.0,0.0,0.0
1272300,0.1,0.1,0.0
1218245,0.1,0.1,0.0
1242905,0.0,0.0,0.0
1256728,0.1,0.1,0.0
1317282,0.0,0.0,0.0
134572,0.0,0.0,0.0
1320762,0.0,0.0,0.0
1180529,0.0,0.0,0.0
1215044,0.0,0.0,0.0
1249600,0.1,0.1,0.0
1382556,0.0,0.0,0.0
1464025,0.1,0.0,0.0
1292645,0.1,0.1,0.0
1354878,0.3,0.2,0.0
1334664,0.1,0.0,0.0
1432516,0.3,0.3,0.0
1231764,0.0,0.0,0.0
1510954,0.0,0.0,0.0
1562012,0.1,0.1,0.0
1341041,0.0,0.0,0.0
1478029,0.0,0.0,0.0
1495253,0.0,0.0,0.0
1616669,0.0,0.0,0.0
1603066,0.0,0.0,0.0
1468846,0.1,0.0,0.0
1352962,0.0,0.0,0.0
1722702,0.1,0.1,0.0
1639958,0.0,0.0,0.0
1568448,0.0,0.0,0.0
1686347,0.0,0.0,0.0
171367,0.0,0.0,0.0
1730756,0.0,0.0,0.0
1662415,0.0,0.0,0.0
1730762,0.0,0.0,0.0
235348,0.0,0.0,0.0
1655042,0.0,0.0,0.0
203009,0.1,0.0,0.0
17874,0.0,0.0,0.0
250417,0.1,0.1,0.0
265067,0.0,0.0,0.0
26178,0.0,0.0,0.0
1678298,0.0,0.0,0.0
1601123,0.0,0.0,0.0
266539,0.0,0.0,0.0
1651542,0.0,0.0,0.0
276488,0.1,0.1,0.0
31116,0.1,0.1,0.0
253477,0.0,0.0,0.0
387737,0.0,0.0,0.0
1733718,0.1,0.0,0.0
31232,0.0,0.0,0.0
269588,0.0,0.0,0.0
237449,0.0,0.0,0.0
370067,0.0,0.0,0.0
388994,0.0,0.0,0.0
256030,0.0,0.0,0.0
381283,0.3,0.0,0.0
394860,0.1,0.1,0.1
412333,0.0,0.0,0.0
337085,0.1,0.0,0.0
396818,0.0,0.0,0.0
448194,0.1,0.1,0.0
297160,0.0,0.0,0.0
421197,0.0,0.0,0.0
440444,0.0,0.0,0.0
406591,0.0,0.0,0.0
464261,0.1,0.0,0.0
485789,0.1,0.1,0.0
494445,0.0,0.0,0.0
376094,0.1,0.1,0.0
506952,0.1,0.0,0.0
47957,0.0,0.0,0.0
478149,0.0,0.0,0.0
312831,0.0,0.0,0.0
40351,0.1,0.1,0.1
526677,0.1,0.1,0.0
529087,0.0,0.0,0.0
53459,0.1,0.1,0.0
622488,0.0,0.0,0.0
639495,0.0,0.0,0.0
527132,0.1,0.1,0.0
526783,0.1,0.1,0.0
611636,0.1,0.1,0.0
484499,0.1,0.1,0.0
666771,0.1,0.1,0.0
689918,0.0,0.0,0.0
542580,0.3,0.0,0.0
57961,0.0,0.0,0.0
498062,0.0,0.0,0.0
752819,0.1,0.0,0.0
713504,0.0,0.0,0.0
609323,0.1,0.1,0.1
534161,0.0,0.0,0.0
565481,0.0,0.0,0.0
742948,0.1,0.1,0.0
741808,0.0,0.0,0.0
771390,0.0,0.0,0.0
584682,0.0,0.0,0.0
14157,0.0,0.0,0.0
432916,0.1,0.1,0.0
48636,0.3,0.3,0.0
835786,0.0,0.0,0.0
790257,0.1,0.1,0.0
843898,0.0,0.0,0.0
845831,0.1,0.1,0.0
464879,0.0,0.0,0.0
838474,0.1,0.1,0.0
842120,0.0,0.0,0.0
85198,0.0,0.0,0.0
945920,0.5,0.0,0.0
877832,0.1,0.1,0.0
877255,0.1,0.1,0.0
950950,0.0,0.0,0.0
99263,0.0,0.0,0.0
846867,0.0,0.0,0.0
860458,0.0,0.0,0.0
94545,0.0,0.0,0.0
911708,0.0,0.0,0.0
952280,0.0,0.0,0.0
649274,0.0,0.0,0.0
945423,0.0,0.0,0.0
854328,0.1,0.1,0.0
850127,0.1,0.1,0.0
