md5,id,title,keep,reason
3599a0e4291f9562f343b9fe54ab8d3b,240333,Blake of Scotland Yard,0,exact_poster_md5_dup
3599a0e4291f9562f343b9fe54ab8d3b,186514,Blake of Scotland Yard,1,exact_poster_md5_dup
0f306017ec2bd3fed5d6dbe24a955c02,565457,The Teenage Frankenstein Meets the Teenage Werewolf,0,exact_poster_md5_dup
0f306017ec2bd3fed5d6dbe24a955c02,565446,The Teenage Frankenstein,1,exact_poster_md5_dup
b4ef1ece813f127d4eddac69cd4102ca,685555,Mega City Masters: 35 Years of Judge Dredd,0,exact_poster_md5_dup
b4ef1ece813f127d4eddac69cd4102ca,685554,Day of Chaos: The Visual Effects of 'Dredd',1,exact_poster_md5_dup
6c4841fe10c502fac80c3950b55f5fef,790739,The Red Circle,0,exact_poster_md5_dup
6c4841fe10c502fac80c3950b55f5fef,790742,The Six Napoleons,0,exact_poster_md5_dup
6c4841fe10c502fac80c3950b55f5fef,791027,The Greek Interpreter,0,exact_poster_md5_dup
6c4841fe10c502fac80c3950b55f5fef,790737,The Second Stain,0,exact_poster_md5_dup
6c4841fe10c502fac80c3950b55f5fef,439994,Charles Augustus Milverton,1,exact_poster_md5_dup
4e0146c694a5467dceba4173e3cb5389,951979,The Broken Rail,0,exact_poster_md5_dup
4e0146c694a5467dceba4173e3cb5389,952404,Crossed Wires,0,exact_poster_md5_dup
4e0146c694a5467dceba4173e3cb5389,950689,A Deed of Daring,0,exact_poster_md5_dup
4e0146c694a5467dceba4173e3cb5389,952171,A Test of Courage,0,exact_poster_md5_dup
4e0146c694a5467dceba4173e3cb5389,952405,A Boy at the Throttle,0,exact_poster_md5_dup
4e0146c694a5467dceba4173e3cb5389,950188,The Open Drawbridge,0,exact_poster_md5_dup
4e0146c694a5467dceba4173e3cb5389,950345,A Race for a Crossing,0,exact_poster_md5_dup
4e0146c694a5467dceba4173e3cb5389,950190,The Railroad Raiders of '62,0,exact_poster_md5_dup
4e0146c694a5467dceba4173e3cb5389,950347,The Box Car Trap,0,exact_poster_md5_dup
4e0146c694a5467dceba4173e3cb5389,950191,The Girl at Lone Point,0,exact_poster_md5_dup
