id,text,lang_code,lang_score
72039,"ATTACK
OF THE
VIRGIN
MUMMILS",en,0.9383
505063,"AWAIT FURTHER
INSTRUCTIONS",en,0.9944
244805,"Public SEBUAH OSMAN Biess ALI
FILEM
is Y
AKAN KU SEDUT DARAM CINTA
MENJADI NAPAS TERAKHIRKU
NASHA AZIZ UMBADA JAHRIN AHMAD SHARTAHANAM
THE MAMUNAH MISUNAMUSTAFFA CORRINE ADRIENNE SHARIFAH ARYANA - ALYA FARHANAH
HALKHAL 0 ZAKARIA BAZAUL ASHRAFF MAHZAN MUSA ORIS & OSUAM AU OSMAN ZAN % NAZAO RAHMAN
|
AZWAN ABU HASSAN EVRA RAHMAT I PAULINE 20 ZULKIFLI BRAHN HAZL CHAM SMAIL 20 GAYATRI SU-UN PILLA
TO
18 FEBUARI 2007
POUR
Korean
.. DOLBY
DO
-",id,0.4089
360118,GHOST COINS,en,0.9323
826047,"WHY
EXPECT A KILLER
WEEKEND",en,0.9939
495031,"DEMON
THE END IS HERE TIME TO PLAY.",en,0.9985
46921,"Robert Morgan's Short Movie
The Cat with Hands
Livy Armstrong
Victoria Hayes
Daniel Hogwood-Kane",en,0.936
1722854,LOVE IN THE DARK,en,0.9852
20669,"DEATH
VALLEY
THE REVENGE
OF BLOODY BILL",en,0.9802
710295,WOLFMAN,en,0.3073
349067,"TIGERS
ARE NOT
AFRAID",en,0.9877
86330,BATES DHILU MOTEL,en,0.3239
1017995,"REQUIEM FOR
A SCREAM",en,0.9295
278806,"EDISON DEATH
MACHINE
Ein
Aus
Aus
SP
ALSO
Stat.
193
BEST SPECIAL
WINNER
FRIGHT NIGHT
EFFECTS
FILMS FESTIVAL
THE DEAD FINALLY HAVE A WAY BACK
Sharring STACES 1 GILLESPIO ASHLEY ARKSLS BILLY K SUCCREEL NICHEL UK INNE CHEROKEE HALL SANTOROSKI
IF INTERNATIONAL FILM PRODUCTIONS PRESENTS A GEORGE BONILLA FILM DE 12008 DEATH RACYING
barder Producers TANINT BONELLA RISSED COS E DOUGLIS CAMPEELL BEUNDA COOKE 1000 SURROYS
Animal Director BC WILLIAMS Writer & Deaded SONILLA
Creature the EYLENA PRACTOR Most RUS DATES USA NACUDO",en,0.772
634171,,,
1455589,"THE
BAREFOOT
LABYRINTH",en,0.9291
927409,"APOR
EL EXTRAÑO
MUNDO DE GUMBALL
CASO n°6811
KAROBSA
CARLOS
ROBLEDO
SOSA",es,0.9249
36003,"Star of 'SHAUN OF THE DEAD'
FEATURING EXTRA PROGRAM ""DANGER! 50,000 ZOMBIES!""
Nick Frost's
A DANGER!
50,000velts!
Zombies",en,0.9418
1714026,"Emma Otis
David A. Clark
Samantha Perry
Kids do the darnest things
A film by Chris Caridi
O
H
T
I
M
M
Y",en,0.9719
645881,"Ohelly
first
production
WITCH'S THE
FIDDLE",en,0.987
117216,"TERROREYES
DOLLYWOOD",en,0.5317
1196089,"LOVE WILL LEAVE A MARK
SIGIL
COMMUNITY RETAT AREP JACOB PERSETT XII MIHALIV GABELLA DASES NUTRITION e KELLY PERRETT
a RECTOR ICE GUSERMA ШИ PRODUCES GAMELLE BRADES a KATET WHALEN 00 AD SULZ
- SAME O MARCE PIRCO TOYER REGATES PIN BLS JUES MICHAEL FLEITES DYEAN SILER
NEW ICE PERRETS CON TO UM MONSTALL 27 SACOS PERRETT - PHANNON SCHWANT
DIET DE X was A28 PERRETT II SCHWIND BOOK ICE PERRETT",en,0.5899
287077,"DIE DOKUMENTATION DES GRAUENS
THE BEST OF
GESIGHTER
DES TODES",de,0.8454
9064,"HELLBOUND
HELLRAISER II",en,0.6005
744273,"QUARANTINE
GiRL",en,0.9731
831396,"THE
BUNKER",en,0.9964
663122,DE VLIEG,nl,0.9934
282391,RIBLJE OKO,bs,0.5832
256907,"hainment
Coun
Counte
MALL
DARR
@THE MALL",en,0.9702
261403,"El Burro Jorobado
Una película de
Raúl Quintanilla",es,0.9978
644460,"glitterstop
عمر
dykotoot.com",ht,0.2155
53806,"THE OTHER SIDE OF THE UNDERNEATH
A film by JANE ARDEN
a major break through for the British cinema. The film juxtaposes visions of
Jane ARDEN'S film ""THE OTHER SIDE OF THE UNDERNEATH"" represents
personal hell with Group Psycho-Therapy Sessions presided over by Jane ARDEN
herself. The terrifying fantasy sequences are utterly convincing images of madness
from the inside.
A descent into what is called ""madness"" or ""schizophrenia"" demands a radical
break from cinematic convention and Jane ARDEN has achieved a major break
through. The movie follows the death and rebirth of a human being in terms which
echo the",en,0.9957
464832,"MATAR a
DIOS",es,0.9178
849255,35285.1,en,0.01
732773,"THE
LOCKDOWN
HAUNTINGS",en,0.9968
752443,"YNDIS
NINA
MELAND
SIRI
HAUGHEM
BIKKE
MCMANON
на UAM
WHO GOES
THERE? RUC LOT KITY
SOLOM DE W CD - - S DER IN will ESCO
Bür DE in 12 to UNE
D DE 123 LOVE = 120 KEE ST TWORE STATE LB - BD 0070
100 POLICE unt VIVE 2019 DE VINTA
HITE",en,0.2533
684807,FROSTBITE,en,0.9683
7282,"a film by
Gianni Petrizzo
PASSWORD RÄTSEL
DAS
DVD
stamedia",en,0.3745
402515,"AMERICAN
BEAST
BACK ON THE PROWL",en,0.9965
1244381,"NO BUDGET
THEATER",en,0.9949
1596208,"THANATOS
THANAIOS
THANAISS
HANAIOS
HANATOS
BY
ANDREW MCVEY",en,0.4376
86343,"GHOST-
IN
THE
INVISIBLE
BIKINI",en,0.6652
840324,"DVD
VISTO
Not Found 4",it,0.3716
70247,"WATCHERS
II",en,0.9176
436113,"Her past has come back
to haunt her...
Remember
and he's armed.
ME
WENDY HUGHES
RICHARD MOIR
ROBERT GRUBB
Produced by PATRIC JUILLET Executive Producer JIM McELROY
Written by ANNE BROOKSBANK Directed by LEX MARINOS
A McELROY A McELROY PRODUCTION
C 1981 Mctiroy A McElroy Production. All Rights Reserved.",en,0.9837
760918,"DANA A
SITGES
adidas -
-
DE columbia TORNER SEGARRA
THAIS BLUME
AND YORDA adidas BRASTERZA WA
met adidas CONTRERAS LOCA
adidas the LICUTE awai 11
- - adidas EDITIONS THE de products MUMILINE
Fr CAT Ministry STORY ELTE July N verify 2 Parts "" - the
adidas adidas adidas
UNI 1331
Delanista PRO Made the
MINCH D'ATETA WITH DO
...",en,0.6115
449463,"TURTLE
ISLAND",en,0.9556
491132,"BEFORE
SOMEONE
HORT
GETS
IT WAS ALL FUN AND GAMES",en,0.9977
135579,"DEAD
BEFORE
DAWN
5
PHS",en,0.9706
235796,"DR. JERKYL'S
HIDE",en,0.9973
406453,"13=:
AT
BEAVER
LAKES",en,0.9882
980478,"NATASHA KRISHNAN
GIL MCKINNEY
METAMORPHOSIS
A FILM BY ALEX SMOOT
THE SMOOT СО PRESENTS IN ASSOCIATION WITH MATADOR PRODUCTIONS THE ALEX SMOOT STARRING NATASHA KRISHNAN & GIL MCKINNEY CATTA STEPHANIE HOLBROOK
IAN HATTON , JAY SHAPIRO ERP JOEY GUNN JASON KRANGEL NICK GOLDFARB & ALEX SMOOT - EXECUTIVE SARAH MIL STEAD",en,0.7871
659313,"KISAH SERAM
HOSTEL",id,0.6061
726239,,,
850060,"DEADTILDENT
I I
Death
Liquid
Liqui
GO",en,0.8401
283437,"CANIBAL FILMES EM ASSOCIAÇÃO COM BULHORGIA PRODUÇÕES
apresen tam
UM EXERCICIO DE ESTILO DE PETTER BAIESTORF
A
CURTICAO
DO
AVACALHO
Estrelado pela ninfeta
Kika,
a nova
sensação
das
produçoes
independentes.
As mensagens subliminares não estão aqui por acaso.",pt,0.9968
